clust,prob,Ind,father,mother,Bay,run
1,0.412,192,*1,#1,Mt,17_obs
1,0.412,231,*17,#1,Mt,17_obs
1,0.412,176,*1,#19,Mt,17_obs
2,0.1816,193,*2,#2,Mt,17_obs
2,0.1816,196,*5,#4,Mt,17_obs
2,0.1816,225,*2,#10,Mt,17_obs
2,0.1816,232,*18,#15,Mt,17_obs
2,0.1816,234,*19,#16,Mt,17_obs
2,0.1816,239,*22,#15,Mt,17_obs
2,0.1816,240,*19,#2,Mt,17_obs
2,0.1816,181,*25,#16,Mt,17_obs
2,0.1816,200,*18,#29,Mt,17_obs
2,0.1816,203,*25,#30,Mt,17_obs
2,0.1816,217,*19,#4,Mt,17_obs
2,0.1816,219,*18,#4,Mt,17_obs
3,1,194,*3,307,Mt,17_obs
4,0.3395,195,*4,#3,Mt,17_obs
4,0.3395,226,*12,#3,Mt,17_obs
4,0.3395,204,*4,#31,Mt,17_obs
4,0.3395,222,*40,#31,Mt,17_obs
5,0.9899,198,*6,#5,Mt,17_obs
5,0.9899,208,*9,#8,Mt,17_obs
5,0.9899,209,*10,#8,Mt,17_obs
5,0.9899,233,*9,#8,Mt,17_obs
5,0.9899,235,*6,#17,Mt,17_obs
5,0.9899,236,*20,#17,Mt,17_obs
5,0.9899,213,*10,#5,Mt,17_obs
6,0.816,206,*7,#6,Mt,17_obs
7,1,207,*8,#7,Mt,17_obs
8,0.8901,224,*11,#9,Mt,17_obs
9,0.2843,227,*13,#11,Mt,17_obs
9,0.2843,229,*15,#13,Mt,17_obs
9,0.2843,230,*16,#14,Mt,17_obs
9,0.2843,179,*15,#21,Mt,17_obs
9,0.2843,184,*16,#13,Mt,17_obs
9,0.2843,187,*29,#26,Mt,17_obs
9,0.2843,201,*32,#21,Mt,17_obs
9,0.2843,211,*35,#13,Mt,17_obs
9,0.2843,215,*13,#21,Mt,17_obs
9,0.2843,216,*15,#26,Mt,17_obs
9,0.2843,221,*35,#36,Mt,17_obs
10,0.8913,228,*14,#12,Mt,17_obs
11,1,237,*21,#18,Mt,17_obs
12,0.6888,178,*23,#20,Mt,17_obs
13,1,180,*24,#22,Mt,17_obs
14,1,182,*26,#23,Mt,17_obs
15,1,183,*27,#24,Mt,17_obs
16,0.7803,185,*28,#25,Mt,17_obs
16,0.7803,202,*33,#25,Mt,17_obs
17,0.6636,188,*30,#27,Mt,17_obs
17,0.6636,210,*30,#33,Mt,17_obs
17,0.6636,212,*36,#27,Mt,17_obs
17,0.6636,220,*39,#33,Mt,17_obs
18,0.3943,199,*31,#28,Mt,17_obs
19,1,205,*34,#32,Mt,17_obs
20,0.8081,214,*37,#34,Mt,17_obs
21,1,218,*38,#35,Mt,17_obs
22,1,223,*41,#37,Mt,17_obs
