wfgenepop_20_Sept2020,,,,,,,,,,,,,,,,,,,,
J42,,"WF22,","PAM27,","PAM79,","WF27,","WF16,","WF33,","WF3,","WF517,","WF196,","WF223,","WF421,","A441,","PAM21,","Psy087,","Psy022,","WF06,","WF12,","WF01,",WF32
pop,,,,,,,,,,,,,,,,,,,,
"7,",131133,179215,160210,164170,333345,236238,340352,168168,261267,243251,255267,276288,182184,0,155161,227235,260260,260260,0,0
"8,",119131,239259,166166,0,277365,0,0,166168,279291,183215,273281,288312,0,0,161161,0,0,0,0,215291
"9,",117119,191255,174178,176182,265321,226238,272328,168168,0,0,277281,236268,186196,211221,155161,235243,256260,256260,0,181217
"10,",117121,183247,160176,178216,269289,238258,276296,0,261287,171191,263263,236292,182186,215219,155161,243243,260260,260260,0,0
"11,",117117,175211,160174,176186,245261,236262,252268,168176,247263,171207,275279,288300,182226,0,155161,243243,0,256264,270290,0
"12,",109111,191259,176184,170190,309313,238254,316320,170174,257291,159195,273289,288320,0,215215,155161,235267,260260,260260,0,0
"13,",121127,231231,174182,168206,269341,236238,276348,170170,283295,183195,245247,252300,184196,0,161163,235243,256256,256256,286286,221289
"14,",117125,195247,178212,188210,305309,244258,312316,168178,279307,159215,233275,0,0,0,161163,0,252256,260264,246290,215283
"15,",117121,211219,160160,182210,269341,236236,288348,162170,263283,183255,265281,268292,0,0,161161,243243,256256,260264,0,217283
"16,",117131,187243,178178,178184,265313,236236,272320,166174,277287,167187,275285,276296,0,0,156161,243335,256260,260260,0,217253
"17,",117125,223235,176180,184206,289333,238240,296340,156168,219279,187191,0,272288,0,0,163163,243243,260260,260260,258290,0
"18,",115117,195243,174174,168182,245341,240258,252348,168178,279307,159215,233275,276288,0,0,161163,231243,0,256256,0,0
"19,",119125,235239,160180,178188,257269,238260,0,0,219247,187187,267275,280292,0,0,155161,243243,256264,256256,0,221221
"20,",117131,215235,176188,166198,317317,236240,324324,168176,255303,183215,253257,284336,180188,223225,155161,243243,256256,0,0,215215
"21,",111123,179227,176178,186188,309337,236238,316352,168174,263275,183195,261267,284296,180182,219219,161161,235243,256260,260264,0,209217
"22,",117121,207259,166174,142220,265309,234238,272316,156168,243279,167167,261281,0,180184,219219,161163,235243,244256,260260,0,217221
"23,",117127,179239,0,158214,297313,238260,320320,168170,287291,195251,261271,280296,0,211217,161161,235243,256256,256260,258262,0
"24,",119139,255275,0,178198,333357,236236,272316,168174,0,0,257271,276292,180180,0,161161,235243,0,0,0,0
"25,",109117,227235,166182,158194,305321,230234,312328,168172,243275,167187,277289,280308,0,215215,156161,235235,268268,0,294298,217221
"26,",117131,187267,180180,180182,265313,236238,272320,162170,251267,155187,237269,292304,0,215217,156161,235243,264264,256264,0,215215
"27,",121133,227247,174174,176186,265273,260286,280280,168176,247287,195195,271279,268284,190198,0,156161,235243,260260,260264,286286,215283
"28,",115119,183251,174180,156208,317337,238250,324344,0,243283,167195,257269,292316,184188,215219,156161,0,256260,256260,0,219259
