"","pop","J42","WF22","PAM27","PAM79","WF16","WF33","WF3","WF517","WF196","WF223","WF421","A441","PAM21","PSY087","PSY022","WF12","WF32"
"70","Atl","111117","231247","174174","166212","238260","320348","164174","281291","167171","255281","300304",NA,"215215","156161","235243","256256","213221"
"71","Atl","117117","207303","160210","154216","236236","292316","162168","215261","167199","245289","276284","182184","213217","163163","219227","256260","215247"
"72","Atl","117157","183203","178178","156170","236236","288300","168178",NA,"167195","261277","300296","182186",NA,"156161","235243","256264",NA
"73","Atl","117121","223259","174174","148190","238240","320276","178176",NA,"187191",NA,"284288","180190","213217","161161","235243","256260","217283"
"74","Atl","111159","187267","160178","178210","236240","328336","176156","265275","191183","251269","296296",NA,"217211","161155","235267","260264","215215"
"75","Atl","115139","231223","174160","168206","236234","316328","168156","251267","167191","261269","284296",NA,"215215","161155","243243","260264",NA
"76","Atl","121115","207199","174174","190226","240258","348300","174176","223245","159227","255267","308320","180188","217219","161155","235243","260260","221211"
"77","Atl","109125","203199","160180","166206","236286","300284","166170","221303","183159","277269","276292","180180","215211","161155","243243","260264",NA
"78","Atl","111117","223175","178176","144180","234234","284308","168170","281267","167211","267257","304276","182180",NA,NA,"235243","260260","211253"
"79","Atl","109123","259239","174160","154156","236234",NA,"168156","281247","195179","245275","296312",NA,"215217","161161","243243","260264","221211"
"80","Atl","117141","223227","174160","192208","238250","272312","170170","271295","167199","257237","284292","190188","219219","161155","235243","256260",NA
"81","Atl","133143","259251","174160","200260","238252","296324","168166","245303","199179","281269",NA,"178178","217219","161161","235243","256260","283273"
"82","Atl","111117","247211","174176","186202","236236","316336","166172","251245","171155","261273","304292",NA,"211219","161161","235243","260264","215207"
"84","Atl","143119","175179","174160","152172","240250","288312","168170","259283","187183","273259","304288","186178","225227","156161","235243","260260",NA
"85","Atl","117119","175191","160178","144172","238262","252280","174168","287287","171199","257279","272280","182178","213213","161161","235267","260264","213205"
"86","Atl","117141","179215","174160","216178","260236","296268","168168","221247","195191","269259","288280","184186","217219","161161","243243","256260",NA
"87","Atl","139123","247215","174160","178182","228230","324324","168170","245297","183203","275259","276292","184188",NA,"161163","235243","260260","213205"
"88","Atl","117117","187235","174182","180184",NA,"288312","176156","281265","191219","263265","312260","186188",NA,"161155","243243","256260",NA
"89","Atl","125123","203195","174206",NA,"238236","252256","174168","245277","167159","257293","288280","184190","215217","161161","235243","260264","221211"
"90","Atl","117139","259175","174160","212182","238240","292360","168156","291271","199195","269271","284292","188192","215217","161161","243243","256256","221211"
"91","Atl","125123","239251","174184","168182","260236","300332",NA,"295279","167183","255263","292268","182180","215213","161163","235243","260264","215255"
"92","Atl","125143","203203","152164","170214","286242","320332","168166","281275","167215","261269","300292","182190",NA,"161163","235243","264264",NA
"93","Atl","117137","227251","174162","208172","260252","320276","172184","275251","167191","267257","304296",NA,"211219","161155","243243","256260",NA
"94","Atl","143147","239279","174174","158188","238238","316352","174168","265295","191215","257275","284292","180188","217217","161155","235243","256260","221211"
"95","Atl","139137","255263",NA,"154150","238236","280352","168168","245253","195187","255281",NA,NA,NA,"161161","243243","256260","215283"
