,Year,Week,Date,value,catcorr,Bay
1,2016,1,2016-05-18,31,1.869227139,Shinnecock
2,2016,1,2016-05-18,23,1.932995822,Shinnecock
3,2016,2,2016-05-26,32,1.858356313,Shinnecock
4,2016,2,2016-05-26,32,1.858356313,Shinnecock
5,2016,2,2016-05-26,37,1.792410193,Shinnecock
6,2016,2,2016-05-26,26,1.913436218,Shinnecock
7,2016,2,2016-05-26,30,1.879380895,Shinnecock
8,2016,2,2016-05-26,30,1.879380895,Shinnecock
9,2016,3,2016-06-01,35,1.821184158,Shinnecock
10,2016,3,2016-06-01,35,1.821184158,Shinnecock
11,2016,3,2016-06-01,30,1.879380895,Shinnecock
12,2016,3,2016-06-01,36,1.807205438,Shinnecock
13,2016,3,2016-06-01,35,1.821184158,Shinnecock
14,2016,3,2016-06-01,21,1.943668526,Shinnecock
15,2016,3,2016-06-01,40,1.743111015,Shinnecock
16,2016,4,2016-06-10,52,1.48823882,Shinnecock
17,2016,4,2016-06-10,40,1.743111015,Shinnecock
18,2016,4,2016-06-10,31,1.869227139,Shinnecock
19,2016,4,2016-06-10,42,1.706267717,Shinnecock
20,2016,4,2016-06-10,43,1.686732572,Shinnecock
21,2016,4,2016-06-10,24,1.926980625,Shinnecock
22,2016,4,2016-06-10,43,1.686732572,Shinnecock
23,2016,4,2016-06-10,10,1.978862417,Shinnecock
24,2016,4,2016-06-10,49,1.557312077,Shinnecock
25,2016,5,2016-06-17,36,1.807205438,Shinnecock
26,2016,5,2016-06-17,48,1.579981685,Shinnecock
27,2016,5,2016-06-17,57,1.375371023,Shinnecock
28,2016,5,2016-06-17,51,1.511344179,Shinnecock
29,2016,5,2016-06-17,30,1.879380895,Shinnecock
30,2016,5,2016-06-17,49,1.557312077,Shinnecock
31,2016,5,2016-06-17,36,1.807205438,Shinnecock
32,2016,5,2016-06-17,28,1.897656828,Shinnecock
33,2016,6,2016-06-24,62,1.274595083,Shinnecock
34,2016,6,2016-06-24,49,1.557312077,Shinnecock
35,2016,6,2016-06-24,63,1.256570527,Shinnecock
36,2016,6,2016-06-24,47,1.60231878,Shinnecock
37,2016,6,2016-06-24,59,1.333117473,Shinnecock
38,2016,6,2016-06-24,47,1.60231878,Shinnecock
39,2016,6,2016-06-24,61,1.293386184,Shinnecock
40,2016,6,2016-06-24,60,1.312908509,Shinnecock
41,2016,6,2016-06-24,54,1.44227622,Shinnecock
42,2016,6,2016-06-24,50,1.534401164,Shinnecock
43,2016,7,2016-07-01,73,1.120442198,Shinnecock
44,2016,7,2016-07-01,69,1.165412156,Shinnecock
45,2016,7,2016-07-01,41,1.72507236,Shinnecock
46,2016,7,2016-07-01,60,1.312908509,Shinnecock
47,2016,7,2016-07-01,75,1.102189954,Shinnecock
48,2016,7,2016-07-01,67,1.192534974,Shinnecock
49,2016,7,2016-07-01,71,1.141440903,Shinnecock
50,2016,7,2016-07-01,66,1.207315414,Shinnecock
51,2016,7,2016-07-01,61,1.293386184,Shinnecock
52,2016,8,2016-07-08,40,1.743111015,Shinnecock
53,2016,8,2016-07-08,59,1.333117473,Shinnecock
54,2016,8,2016-07-08,40,1.743111015,Shinnecock
55,2016,8,2016-07-08,75,1.102189954,Shinnecock
56,2016,8,2016-07-08,78,1.079406463,Shinnecock
57,2016,8,2016-07-08,55,1.419611821,Shinnecock
58,2016,8,2016-07-08,55,1.419611821,Shinnecock
59,2016,8,2016-07-08,75,1.102189954,Shinnecock
60,2016,9,2016-07-13,80,1.066899923,Shinnecock
61,2016,9,2016-07-13,59,1.333117473,Shinnecock
62,2016,9,2016-07-13,77,1.086431913,Shinnecock
63,2016,9,2016-07-13,54,1.44227622,Shinnecock
64,2016,9,2016-07-13,71,1.141440903,Shinnecock
65,2016,9,2016-07-13,43,1.686732572,Shinnecock
66,2016,9,2016-07-13,60,1.312908509,Shinnecock
67,2016,9,2016-07-13,47,1.60231878,Shinnecock
68,2016,9,2016-07-13,55,1.419611821,Shinnecock
69,2016,10,2016-07-21,60,1.312908509,Shinnecock
70,2016,10,2016-07-21,46,1.624237594,Shinnecock
71,2016,10,2016-07-21,72,1.130583272,Shinnecock
72,2016,10,2016-07-21,64,1.239338748,Shinnecock
73,2016,10,2016-07-21,77,1.086431913,Shinnecock
74,2016,10,2016-07-21,53,1.465183611,Shinnecock
75,2016,10,2016-07-21,73,1.120442198,Shinnecock
76,2016,11,2016-07-28,75,1.102189954,Shinnecock
77,2016,11,2016-07-28,88,1.033091806,Shinnecock
78,2016,11,2016-07-28,90,1.02766066,Shinnecock
79,2016,11,2016-07-28,63,1.256570527,Shinnecock
80,2016,11,2016-07-28,60,1.312908509,Shinnecock
81,2016,11,2016-07-28,85,1.043210324,Shinnecock
82,2016,11,2016-07-28,83,1.051532818,Shinnecock
83,2016,11,2016-07-28,51,1.511344179,Shinnecock
84,2016,11,2016-07-28,90,1.02766066,Shinnecock
85,2016,12,2016-08-04,57,1.375371023,Shinnecock
86,2016,12,2016-08-04,94,1.019275717,Shinnecock
87,2016,12,2016-08-04,64,1.239338748,Shinnecock
88,2016,12,2016-08-04,83,1.051532818,Shinnecock
89,2016,12,2016-08-04,46,1.624237594,Shinnecock
90,2016,13,2016-08-11,58,1.353959245,Shinnecock
91,2016,13,2016-08-11,74,1.110988139,Shinnecock
92,2016,13,2016-08-11,61,1.293386184,Shinnecock
93,2016,13,2016-08-11,50,1.534401164,Shinnecock
94,2016,14,2016-08-18,66,1.207315414,Shinnecock
95,2016,14,2016-08-18,55,1.419611821,Shinnecock
96,2016,14,2016-08-18,50,1.534401164,Shinnecock
97,2016,14,2016-08-18,50,1.534401164,Shinnecock
98,2016,14,2016-08-18,65,1.222917267,Shinnecock
99,2016,14,2016-08-18,53,1.465183611,Shinnecock
100,2016,15,2016-08-25,48,1.579981685,Shinnecock
101,2016,15,2016-08-25,66,1.207315414,Shinnecock
102,2016,16,2016-08-31,82,1.056242824,Shinnecock
103,2016,2,2016-05-26,25,1.920471453,Shinnecock
104,2016,2,2016-05-26,28,1.897656828,Shinnecock
105,2016,2,2016-05-26,30,1.879380895,Shinnecock
106,2016,2,2016-05-26,29,1.888847084,Shinnecock
107,2016,3,2016-06-01,35,1.821184158,Shinnecock
108,2016,3,2016-06-01,60,1.312908509,Shinnecock
109,2016,3,2016-06-01,35,1.821184158,Shinnecock
110,2016,3,2016-06-01,38,1.776793505,Shinnecock
111,2016,3,2016-06-01,41,1.72507236,Shinnecock
112,2016,4,2016-06-10,44,1.666511679,Shinnecock
113,2016,4,2016-06-10,21,1.943668526,Shinnecock
114,2016,4,2016-06-10,48,1.579981685,Shinnecock
115,2016,4,2016-06-10,44,1.666511679,Shinnecock
116,2016,4,2016-06-10,31,1.869227139,Shinnecock
117,2016,4,2016-06-10,35,1.821184158,Shinnecock
118,2016,4,2016-06-10,42,1.706267717,Shinnecock
119,2016,4,2016-06-10,45,1.645659032,Shinnecock
120,2016,5,2016-06-17,63,1.256570527,Shinnecock
121,2016,5,2016-06-17,46,1.624237594,Shinnecock
122,2016,5,2016-06-17,53,1.465183611,Shinnecock
123,2016,5,2016-06-17,55,1.419611821,Shinnecock
124,2016,5,2016-06-17,47,1.60231878,Shinnecock
125,2016,5,2016-06-17,28,1.897656828,Shinnecock
126,2016,5,2016-06-17,43,1.686732572,Shinnecock
127,2016,5,2016-06-17,30,1.879380895,Shinnecock
128,2016,6,2016-06-24,60,1.312908509,Shinnecock
129,2016,6,2016-06-24,56,1.397281537,Shinnecock
130,2016,6,2016-06-24,35,1.821184158,Shinnecock
131,2016,6,2016-06-24,55,1.419611821,Shinnecock
132,2016,6,2016-06-24,49,1.557312077,Shinnecock
133,2016,6,2016-06-24,44,1.666511679,Shinnecock
134,2016,6,2016-06-24,57,1.375371023,Shinnecock
135,2016,6,2016-06-24,70,1.1530424,Shinnecock
136,2016,7,2016-07-01,73,1.120442198,Shinnecock
137,2016,7,2016-07-01,67,1.192534974,Shinnecock
138,2016,7,2016-07-01,38,1.776793505,Shinnecock
139,2016,7,2016-07-01,65,1.222917267,Shinnecock
140,2016,7,2016-07-01,70,1.1530424,Shinnecock
141,2016,7,2016-07-01,64,1.239338748,Shinnecock
142,2016,7,2016-07-01,68,1.178570912,Shinnecock
143,2016,7,2016-07-01,57,1.375371023,Shinnecock
144,2016,8,2016-07-08,46,1.624237594,Shinnecock
145,2016,8,2016-07-08,65,1.222917267,Shinnecock
146,2016,8,2016-07-08,35,1.821184158,Shinnecock
