,,,,,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.397,,,,,,,,,,,,0.869,0.654,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.027,,,,,,,,,,,,,,
,,,,,,,,,,,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.553,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.835,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.721,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.865,,0.895,,,,,,,,,,,,,,,,,,,
0.663,,,,,,,0.814,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601,,,,,,,,,0.126
,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.394,,,,,0.475,,,,,,,,,,,,,,,,,0.059,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.764,,,,,,,,,,0.079,,,,,0.444,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.777,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.662,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.06,,,,0.139,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.614,,,0.088,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,,,,0.045,,,,,,
,,,,,,,,,,,,,,,0.477,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.864,,,,,,,,,,,,,,0.784,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0.588,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.651,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.051,,,,0.567,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,
0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279,,,,,,,
,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.009,,,,,,,,,,,,,,,,,,0.613,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.463,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.325,,,,,,,,,,0.614,,,,,,,,,,,,,,0.339
,,0.543,,0.69,,,,,,,,,,,,,0.1,,,,,0.286,,,,,,,,,,,,,,,
,,,,0.823,,,,,,,,,,,,,,,,,,,0.282,,,,,,,,,,,,,,
,,,,,,,,0.864,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,0.844,
,,,0.894,,,0.839,,,,,,,,,,,,,,,,0.772,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,0.963,,
,,,,,,,,,,,,,0.252,,,,,,,,,,0.795,,,,,,,,,,,,,,
