samp,fishID,new.cohort,Year,TL,Location,Age,catch.date,old.pop,hatch.date
173,62415882,2,2015,24,Mattituck,42,2015-06-24,Mt_1_2015,2015-05-13
174,62415881,2,2015,26,Mattituck,37,2015-06-24,Mt_1_2015,2015-05-18
176,70715571,2,2015,27,Mattituck,38,2015-07-07,Mt_1_2015,2015-05-30
178,70715651,2,2015,27,Mattituck,40,2015-07-07,Mt_1_2015,2015-05-28
179,70715381,2,2015,29,Mattituck,42,2015-07-07,Mt_1_2015,2015-05-26
180,70715831,2,2015,29,Mattituck,42,2015-07-07,Mt_1_2015,2015-05-26
181,70715652,2,2015,31,Mattituck,46,2015-07-07,Mt_1_2015,2015-05-22
189,62415998,1,2015,57,Mattituck,70,2015-06-24,Mt_2_2015,2015-04-15
190,624159911,1,2015,58,Mattituck,58,2015-06-24,Mt_2_2015,2015-04-27
193,70715291,1,2015,75,Mattituck,99,2015-07-07,Mt_2_2015,2015-03-30
194,72115562,1,2015,87,Mattituck,102,2015-07-21,Mt_2_2015,2015-04-10
199,63016291,2,2016,27,Mattituck,42,2016-06-30,Mt_1_2016,2016-05-19
200,63016471,2,2016,30,Mattituck,46,2016-06-30,Mt_1_2016,2016-05-15
201,63016561,2,2016,33,Mattituck,42,2016-06-30,Mt_1_2016,2016-05-19
202,63016472,2,2016,34,Mattituck,57,2016-06-30,Mt_1_2016,2016-05-04
203,63016381,2,2016,35,Mattituck,53,2016-06-30,Mt_1_2016,2016-05-08
204,63016382,2,2016,37,Mattituck,55,2016-06-30,Mt_1_2016,2016-05-06
205,63016473,2,2016,37,Mattituck,53,2016-06-30,Mt_1_2016,2016-05-08
206,60216741,1,2016,25,Mattituck,32,2016-06-02,Mt_1_2016,2016-05-01
207,60216651,1,2016,31,Mattituck,36,2016-06-02,Mt_1_2016,2016-04-27
208,61316741,1,2016,24,Mattituck,25,2016-06-13,Mt_1_2016,2016-05-19
209,61316742,1,2016,35,Mattituck,49,2016-06-13,Mt_1_2016,2016-04-25
210,72616471,2,2016,32,Mattituck,42,2016-07-26,Mt_1_2016,2016-06-14
211,72616381,2,2016,41,Mattituck,66,2016-07-26,Mt_1_2016,2016-05-21
212,72616741,2,2016,41,Mattituck,56,2016-07-26,Mt_1_2016,2016-05-31
215,71116471,2,2016,29,Mattituck,50,2016-07-11,Mt_1_2016,2016-05-22
216,71116741,2,2016,30,Mattituck,41,2016-07-11,Mt_1_2016,2016-05-31
217,71116472,2,2016,32,Mattituck,42,2016-07-11,Mt_1_2016,2016-05-30
218,71116831,2,2016,35,Mattituck,55,2016-07-11,Mt_1_2016,2016-05-17
219,71116473,2,2016,38,Mattituck,53,2016-07-11,Mt_1_2016,2016-05-19
220,71116474,2,2016,43,Mattituck,63,2016-07-11,Mt_1_2016,2016-05-09
221,71116475,2,2016,44,Mattituck,75,2016-07-11,Mt_1_2016,2016-04-27
222,71116381,2,2016,47,Mattituck,51,2016-07-11,Mt_1_2016,2016-05-21
223,71116561,2,2016,51,Mattituck,86,2016-07-11,Mt_1_2016,2016-04-16
224,63016474,1,2016,51,Mattituck,78,2016-06-30,Mt_2_2016,2016-04-13
225,63016475,1,2016,58,Mattituck,88,2016-06-30,Mt_2_2016,2016-04-03
226,63016476,1,2016,59,Mattituck,81,2016-06-30,Mt_2_2016,2016-04-10
227,63016651,1,2016,67,Mattituck,92,2016-06-30,Mt_2_2016,2016-03-30
228,63016652,1,2016,71,Mattituck,99,2016-06-30,Mt_2_2016,2016-03-23
229,63016653,1,2016,73,Mattituck,99,2016-06-30,Mt_2_2016,2016-03-23
230,63016654,1,2016,88,Mattituck,100,2016-06-30,Mt_2_2016,2016-03-22
231,60216654,1,2016,55,Mattituck,74,2016-06-02,Mt_2_2016,2016-03-20
232,60216655,1,2016,62,Mattituck,72,2016-06-02,Mt_2_2016,2016-03-22
233,61316674,1,2016,63,Mattituck,74,2016-06-13,Mt_2_2016,2016-03-31
234,61316673,1,2016,64,Mattituck,81,2016-06-13,Mt_2_2016,2016-03-24
235,72616291,1,2016,84,Mattituck,94,2016-07-26,Mt_2_2016,2016-04-23
236,72616561,1,2016,86,Mattituck,89,2016-07-26,Mt_2_2016,2016-04-28
237,72616472,1,2016,97,Mattituck,113,2016-07-26,Mt_2_2016,2016-04-04
240,71116382,1,2016,90,Mattituck,82,2016-07-11,Mt_2_2016,2016-04-20
