samp,fishID,new.cohort,Year,Week,TL,Bay,Age,catch.date,old.pop
102,160701_SHIN_18,1,2016,7,68,Shinnecock,145,2016-07-01,Shin_1_2016
103,160728_SHIN_14,2,2016,11,77,Shinnecock,,2016-07-28,Shin_1_2016
104,160728_SHIN_15,2,2016,11,80,Shinnecock,,2016-07-28,Shin_1_2016
105,160728_SHIN_16,1,2016,11,84,Shinnecock,,2016-07-28,Shin_1_2016
106,160804_SHIN_14,1,2016,12,83,Shinnecock,,2016-08-04,Shin_1_2016
107,160804_SHIN_28,1,2016,12,83,Shinnecock,158,2016-08-04,Shin_1_2016
108,160804_SHIN_6,1,2016,12,84,Shinnecock,,2016-08-04,Shin_1_2016
114,160701_SHIN_5,2,2016,7,41,Shinnecock,114,2016-07-01,Shin_2_2016
115,160721_SHIN_3,2,2016,10,48,Shinnecock,,2016-07-21,Shin_2_2016
116,160721_SHIN_4,2,2016,10,50,Shinnecock,,2016-07-21,Shin_2_2016
118,160617_SHIN_5,2,2016,5,28,Shinnecock,112,2016-06-17,Shin_2_2016
S_1,2017_Shin_1,1,2017,1,54,Shinnecock,,2017-06-02,Shin_1_2017
S_100,2017_Shin_100,2,2017,11,80,Shinnecock,,2017-08-08,Shin_1_2017
S_101,2017_Shin_101,2,2017,11,49,Shinnecock,120,2017-08-08,Shin_2_2017
S_11,2017_Shin_11,2,2017,1,22,Shinnecock,,2017-06-02,Shin_2_2017
S_12,2017_Shin_12,2,2017,3,30,Shinnecock,,2017-06-14,Shin_2_2017
S_13,2017_Shin_13,2,2017,3,35,Shinnecock,,2017-06-14,Shin_2_2017
S_14,2017_Shin_14,2,2017,3,26,Shinnecock,,2017-06-14,Shin_2_2017
S_15,2017_Shin_15,2,2017,3,33,Shinnecock,,2017-06-14,Shin_2_2017
S_19,2017_Shin_19,2,2017,3,27,Shinnecock,,2017-06-14,Shin_2_2017
S_20,2017_Shin_20,2,2017,3,33,Shinnecock,,2017-06-14,Shin_2_2017
S_21,2017_Shin_21,2,2017,3,26,Shinnecock,,2017-06-14,Shin_2_2017
S_22,2017_Shin_22,2,2017,3,29,Shinnecock,,2017-06-14,Shin_2_2017
S_25,2017_Shin_25,1,2017,3,60,Shinnecock,,2017-06-14,Shin_1_2017
S_26,2017_Shin_26,2,2017,3,32,Shinnecock,,2017-06-14,Shin_2_2017
S_27,2017_Shin_27,1,2017,3,58,Shinnecock,,2017-06-14,Shin_1_2017
S_28,2017_Shin_28,1,2017,3,72,Shinnecock,,2017-06-14,Shin_1_2017
S_29,2017_Shin_29,1,2017,3,68,Shinnecock,,2017-06-14,Shin_1_2017
S_30,2017_Shin_30,1,2017,3,70,Shinnecock,,2017-06-14,Shin_1_2017
S_31,2017_Shin_31,1,2017,3,62,Shinnecock,,2017-06-14,Shin_1_2017
S_34,2017_Shin_34,2,2017,4,36,Shinnecock,,2017-06-22,Shin_2_2017
S_36,2017_Shin_36,1,2017,4,70,Shinnecock,,2017-06-22,Shin_1_2017
S_38,2017_Shin_38,2,2017,4,42,Shinnecock,,2017-06-22,Shin_2_2017
S_39,2017_Shin_39,2,2017,4,39,Shinnecock,,2017-06-22,Shin_2_2017
S_4,2017_Shin_4,2,2017,1,45,Shinnecock,,2017-06-02,Shin_1_2017
S_40,2017_Shin_40,1,2017,4,80,Shinnecock,,2017-06-22,Shin_1_2017
S_41,2017_Shin_41,1,2017,4,81,Shinnecock,,2017-06-22,Shin_1_2017
S_45,2017_Shin_45,2,2017,5,39,Shinnecock,,2017-06-28,Shin_2_2017
S_46,2017_Shin_46,2,2017,5,35,Shinnecock,,2017-06-28,Shin_2_2017
S_47,2017_Shin_47,1,2017,5,78,Shinnecock,,2017-06-28,Shin_1_2017
S_51,2017_Shin_51,1,2017,5,75,Shinnecock,,2017-06-28,Shin_1_2017
S_52,2017_Shin_52,2,2017,6,46,Shinnecock,,2017-07-05,Shin_2_2017
S_53,2017_Shin_53,1,2017,6,80,Shinnecock,,2017-07-05,Shin_1_2017
S_55,2017_Shin_55,1,2017,6,91,Shinnecock,,2017-07-05,Shin_1_2017
S_58,2017_Shin_58,2,2017,6,33,Shinnecock,,2017-07-05,Shin_2_2017
S_6,2017_Shin_6,2,2017,1,23,Shinnecock,,2017-06-02,Shin_2_2017
S_60,2017_Shin_60,1,2017,6,75,Shinnecock,,2017-07-05,Shin_1_2017
S_61,2017_Shin_61,2,2017,6,47,Shinnecock,,2017-07-05,Shin_2_2017
S_62,2017_Shin_62,2,2017,7,44,Shinnecock,,2017-07-13,Shin_2_2017
S_64,2017_Shin_64,1,2017,7,88,Shinnecock,,2017-07-13,Shin_1_2017
S_66,2017_Shin_66,1,2017,7,74,Shinnecock,,2017-07-13,Shin_1_2017
S_67,2017_Shin_67,2,2017,7,33,Shinnecock,,2017-07-13,Shin_2_2017
S_68,2017_Shin_68,2,2017,7,67,Shinnecock,,2017-07-13,Shin_1_2017
S_69,2017_Shin_69,2,2017,7,43,Shinnecock,,2017-07-13,Shin_2_2017
S_74,2017_Shin_74,2,2017,8,40,Shinnecock,,2017-07-19,Shin_2_2017
