"","rowname","strata.1","strata.2","Fst","Pr.exact","Pr.adj","sig"
"1","Mt_1_2015 (6) v. Mt_1_2016 (19)","Mt_1_2015","Mt_1_2016",0.0050131045816781,0.240759240759241,0.534965034965035,"not sig"
"2","Mt_1_2015 (6) v. Mt_2_2015 (9)","Mt_1_2015","Mt_2_2015",0.00646386164073073,0.243756243756244,0.534965034965035,"not sig"
"3","Mt_1_2015 (6) v. Mt_2_2016 (20)","Mt_1_2015","Mt_2_2016",-0.00351215053977766,0.647352647352647,0.693592122163551,"not sig"
"4","Mt_1_2015 (6) v. Mt_3_adults (62)","Mt_1_2015","Mt_3_adults",-0.00186381119187829,0.571428571428571,0.672020287404903,"not sig"
"5","Mt_1_2015 (6) v. Mt_4_adults (12)","Mt_1_2015","Mt_4_adults",0.0110897094977564,0.133866133866134,0.534965034965035,"not sig"
"6","Mt_1_2016 (19) v. Mt_2_2015 (9)","Mt_1_2016","Mt_2_2015",0.00212499401046385,0.313686313686314,0.534965034965035,"not sig"
"7","Mt_1_2016 (19) v. Mt_2_2016 (20)","Mt_1_2016","Mt_2_2016",0.00185058609361872,0.293706293706294,0.534965034965035,"not sig"
"8","Mt_1_2016 (19) v. Mt_3_adults (62)","Mt_1_2016","Mt_3_adults",-0.00230789187134286,0.854145854145854,0.854145854145854,"not sig"
"9","Mt_1_2016 (19) v. Mt_4_adults (12)","Mt_1_2016","Mt_4_adults",-0.00107759051008578,0.579420579420579,0.672020287404903,"not sig"
"10","Mt_2_2015 (9) v. Mt_2_2016 (20)","Mt_2_2015","Mt_2_2016",0.00219153471596947,0.337662337662338,0.534965034965035,"not sig"
"11","Mt_2_2015 (9) v. Mt_3_adults (62)","Mt_2_2015","Mt_3_adults",0.00387114674286952,0.176823176823177,0.534965034965035,"not sig"
"12","Mt_2_2015 (9) v. Mt_4_adults (12)","Mt_2_2015","Mt_4_adults",0.00240408739192329,0.356643356643357,0.534965034965035,"not sig"
"13","Mt_2_2016 (20) v. Mt_3_adults (62)","Mt_2_2016","Mt_3_adults",0.00406933738232748,0.0529470529470529,0.534965034965035,"not sig"
"14","Mt_2_2016 (20) v. Mt_4_adults (12)","Mt_2_2016","Mt_4_adults",0.00501153995983812,0.160839160839161,0.534965034965035,"not sig"
"15","Mt_3_adults (62) v. Mt_4_adults (12)","Mt_3_adults","Mt_4_adults",-0.000899350691114763,0.582417582417582,0.672020287404903,"not sig"
