"","rowname","strata.1","strata.2","Fst","Pr.exact","Pr.adj","sig"
"1","Jam (31) v. Mor (27)","Jam","Mor",0.00757643980162381,0.00899100899100899,0.0128442985585843,"sig"
"2","Jam (31) v. Mt (47)","Jam","Mt",0.0069235064540566,0.002997002997003,0.004995004995005,"sig"
"3","Jam (31) v. Nap (26)","Jam","Nap",0.00355504829399947,0.0969030969030969,0.121128871128871,"not sig"
"4","Jam (31) v. Shin (53)","Jam","Shin",0.0110950044263359,0.000999000999000999,0.001998001998002,"sig"
"5","Mor (27) v. Mt (47)","Mor","Mt",0.0232492917957204,0.000999000999000999,0.001998001998002,"sig"
"6","Mor (27) v. Nap (26)","Mor","Nap",0.00134876311236249,0.283716283716284,0.315240315240315,"not sig"
"7","Mor (27) v. Shin (53)","Mor","Shin",0.0244969128258904,0.000999000999000999,0.001998001998002,"sig"
"8","Mt (47) v. Nap (26)","Mt","Nap",0.0220244935093643,0.000999000999000999,0.001998001998002,"sig"
"9","Mt (47) v. Shin (53)","Mt","Shin",6.54721983847777e-05,0.452547452547453,0.452547452547453,"not sig"
"10","Nap (26) v. Shin (53)","Nap","Shin",0.0233344166656098,0.000999000999000999,0.001998001998002,"sig"
