"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"1","Atl","J42",24,0.547105551991065,0.8706,0.864,0.864,-0.0077,2.51485920157799,0.861453287197232,7.21778221778222
"2","Atl","WF22",40,0.839266113452823,0.9461,0.9628,0.9628,0.0173,3.38320600672629,0.959822869231597,24.8897813476127
"3","Atl","PAM27",22,0.618163384103234,0.7875,0.8187,0.8187,0.0381,2.1014078436467,0.81607421875,5.43697568227673
"4","Atl","PAM79",43,0.795551624920636,0.9576,0.9618,0.9618,0.0044,3.41108021878653,0.958861340679523,24.3080357142857
"5","Atl","WF16",21,0.602128516397882,0.8274,0.8307,0.8307,0.004,2.1978800792424,0.828195861678005,5.82058156320891
"6","Atl","WF33",34,0.845426051308516,0.9509,0.957,0.957,0.0063,3.24044823515052,0.95402536790997,21.7511256651658
"7","Atl","WF3",16,0.513181766395948,0.7651,0.7551,0.7551,-0.0131,1.93693582884969,0.752903178980984,4.04699662211778
"8","Atl","WF517",38,0.836601830005858,0.9,0.9591,0.9591,0.0616,3.29288107722231,0.95591796875,22.6849800620292
"9","Atl","WF196",24,0.726076415342627,0.9329,0.9106,0.9106,-0.0245,2.67906457717322,0.907867340868531,10.8539144471348
"10","Atl","WF223",27,0.826860346043393,0.9346,0.9396,0.9396,0.0053,2.93576020081223,0.936498782519544,15.7477295660949
"11","Atl","WF421",23,0.767575434014067,0.9493,0.9083,0.9083,-0.0451,2.59815122138766,0.905193236714976,10.5477707006369
"12","Atl","A441",13,0.810744427055811,0.8906,0.8645,0.8645,-0.0302,2.15840029229498,0.86126708984375,7.20809502859657
"13","Atl","PAM21",11,0.837847210921682,0.7273,0.8069,0.8069,0.0987,1.77187687485891,0.803546831955923,5.09027169149869
"14","Atl","PSY087",6,0.577981806439608,0.6287,0.5176,0.5176,-0.2147,1.04640803573984,0.516386388898849,2.06776645041705
"15","Atl","PSY022",12,0.65017752139322,0.6467,0.5801,0.5801,-0.1147,1.13470529579992,0.578422222222222,2.37204153708292
"16","Atl","WF12",4,0.80523250978568,0.6,0.5805,0.5805,-0.0335,0.995738183177071,0.578824609733701,2.37430776610125
"17","Atl","WF32",23,0.637256903945057,0.6875,0.8627,0.8627,0.2031,2.35418074921292,0.858612060546875,7.07273904597453
"18","Jam","J42",16,0.68807694791396,0.9032,0.8941,0.8941,-0.0102,2.45434850069751,0.879812695109261,8.32034632034632
"19","Jam","WF22",28,0.882309978442414,0.9677,0.9688,0.9688,0.0011,3.18099753381243,0.953173777315297,21.3555555555556
"20","Jam","PAM27",12,0.63734409298235,0.7586,0.7531,0.7531,-0.0074,1.69929070838426,0.740190249702735,3.84897025171625
"21","Jam","PAM79",31,0.875792716581127,0.9655,0.9748,0.9748,0.0095,3.29242801699452,0.957788347205707,23.6901408450704
"22","Jam","WF16",14,0.660959456502543,0.7667,0.8448,0.8448,0.0925,2.12319246371483,0.829444444444444,5.86319218241042
"23","Jam","WF33",24,0.891557112435621,0.9667,0.9632,0.9632,-0.0036,3.05071101681747,0.947222222222222,18.9473684210526
"24","Jam","WF3",11,0.678909498623121,0.8667,0.8207,0.8207,-0.056,1.97266297063536,0.807777777777778,5.20231213872832
"25","Jam","WF517",23,0.869128811210161,0.8966,0.9594,0.9594,0.0655,2.97538100259959,0.941736028537455,17.1632653061224
"26","Jam","WF196",17,0.783382825762475,1,0.9151,0.9151,-0.0928,2.54197714895608,0.901664932362123,10.1693121693122
"27","Jam","WF223",19,0.850583291185129,1,0.9421,0.9421,-0.0614,2.76640086326966,0.926872770511296,13.6747967479675
"28","Jam","WF421",15,0.851122768646398,0.9655,0.9175,0.9175,-0.0523,2.47444894939476,0.902497027348395,10.2560975609756
"29","Jam","A441",8,0.929671667651925,0.8636,0.8712,0.8712,0.0087,1.96782541029667,0.851239669421488,6.72222222222222
"30","Jam","PAM21",7,0.851931893802466,0.75,0.8016,0.8016,0.0644,1.6595229987833,0.783854166666667,4.62650602409639
"31","Jam","PSY087",5,0.61027626674409,0.6333,0.5443,0.5443,-0.1637,1.06400333083962,0.536666666666667,2.15827338129496
"32","Jam","PSY022",6,0.715810771265386,0.6,0.5632,0.5632,-0.0653,1.00738583905108,0.554444444444445,2.24438902743142
"33","Jam","WF12",3,0.87633503635278,0.7097,0.6124,0.6124,-0.1589,1.00829154351597,0.604058272632674,2.52562417871222
"34","Jam","WF32",13,0.761162122461869,0.8636,0.8799,0.8799,0.0185,2.20135445794427,0.859504132231405,7.11764705882353
"35","Mor","J42",13,0.559043658590605,0.8333,0.8053,0.8053,-0.0349,2.04009258939345,0.7890625,4.74074074074074
"36","Mor","WF22",25,0.897378494075426,1,0.9701,0.9701,-0.0308,3.10939056230619,0.950520833333333,20.2105263157895
"37","Mor","PAM27",9,0.751621069687892,0.7143,0.7976,0.7976,0.1045,1.72743614286184,0.776643990929705,4.47715736040609
"38","Mor","PAM79",23,0.784941237612122,0.9583,0.9484,0.9484,-0.0105,2.86925563525726,0.928819444444444,14.0487804878049
"39","Mor","WF16",13,0.723854112662916,0.9167,0.8668,0.8668,-0.0575,2.17677441989602,0.849826388888889,6.65895953757225
"40","Mor","WF33",23,0.797671044284856,0.9583,0.9529,0.9529,-0.0057,2.91789240906705,0.933159722222222,14.961038961039
"41","Mor","WF3",10,0.567702625658807,0.7917,0.7464,0.7464,-0.0607,1.75882406185104,0.731770833333333,3.72815533980582
"42","Mor","WF517",19,0.809008157976336,0.8095,0.9464,0.9464,0.1447,2.73036895116577,0.920634920634921,12.6
"43","Mor","WF196",17,0.67651120323372,1,0.8958,0.8958,-0.1163,2.46577293870165,0.879340277777778,8.28776978417266
"44","Mor","WF223",16,0.846325826628966,0.9091,0.9286,0.9286,0.021,2.52788232991723,0.90702479338843,10.7555555555556
"45","Mor","WF421",13,0.825668267030819,0.9545,0.9004,0.9004,-0.0601,2.30093378210377,0.881198347107438,8.41739130434783
