"","chi^2","df","Pr(chi^2 >)","Pr.exact","pop","pval.adj","p.chi","p.chi.adj"
"J42...1",107.929402153018,120,0.777418930341245,0.153,"Jam_2016_6",0.881074787720078,"in","in"
"WF22...2",393.148888888889,378,0.285039014984796,0.572,"Jam_2016_6",0.524177733994725,"in","in"
"PAM27...3",76.6399284537813,66,0.174157942476584,0.259,"Jam_2016_6",0.493447503683654,"in","in"
"PAM79...4",482.125,465,0.282105355085236,0.58,"Jam_2016_6",0.524177733994725,"in","in"
"WF16...5",129.763794406652,91,0.00477273445367921,0.257,"Jam_2016_6",0.0202841214281366,"out","out"
"WF33...6",278.45,276,0.447361167837787,0.372,"Jam_2016_6",0.633761654436865,"in","in"
"WF3...7",68.4201867156413,55,0.105539956625745,0.154,"Jam_2016_6",0.358835852527533,"in","in"
"WF517...8",255.361111111111,253,0.446598871151662,0.23,"Jam_2016_6",0.633761654436865,"in","in"
"WF196...9",103.964814814815,136,0.981181457676376,0.99,"Jam_2016_6",0.981181457676376,"in","in"
"WF223...10",157.727777777778,171,0.758297980623357,0.811,"Jam_2016_6",0.881074787720078,"in","in"
"WF421...11",146.724820483749,105,0.00449875029682989,0.273,"Jam_2016_6",0.0202841214281366,"out","out"
"A441...12",20.863139329806,28,0.831008362141602,0.916,"Jam_2016_6",0.882946384775452,"in","in"
"PAM21...13",56.5819858936342,21,4.14293269989097e-05,0.307,"Jam_2016_6",0.000352149279490732,"out","out"
"PSY087...14",7.37149297588858,10,0.689969618861801,0.617,"Jam_2016_6",0.881074787720078,"in","in"
"PSY022...15",66.5110750182426,15,1.85407489361467e-08,0.013,"Jam_2016_6",3.15192731914493e-07,"out","out"
"WF12...16",4.5767258937281,3,0.205547767353038,0.195,"Jam_2016_6",0.499187435000235,"in","in"
"WF32...17",83.7231910946197,78,0.308339843526309,0.004,"Jam_2016_6",0.524177733994725,"in","in"
"J42...18",61.68,78,0.912517650617623,0.712,"Mor_2016_6",0.969550003781225,"in","in"
"WF22...19",306,300,0.393383719880487,1,"Mor_2016_6",0.835940404746034,"in","in"
"PAM27...20",19.2224338624339,36,0.990049234979191,0.635,"Mor_2016_6",0.990049234979191,"in","in"
"PAM79...21",301,253,0.0206093154724954,0.212,"Mor_2016_6",0.350358363032423,"out","in"
"WF16...22",77.030303030303,78,0.509772321254195,0.279,"Mor_2016_6",0.866612946132132,"in","in"
"WF33...23",262.302040816327,253,0.330650744816679,0.356,"Mor_2016_6",0.835940404746034,"in","in"
"WF3...24",52.1148330182735,45,0.216755243807072,0.515,"Mor_2016_6",0.835940404746034,"in","in"
"WF517...25",175.990476190476,171,0.380851492229825,0.044,"Mor_2016_6",0.835940404746034,"in","in"
"WF196...26",124.707692307692,136,0.746622245673707,0.482,"Mor_2016_6",0.969550003781225,"in","in"
"WF223...27",130.777777777778,120,0.236181609306134,0.292,"Mor_2016_6",0.835940404746034,"in","in"
"WF421...28",63.4374074074074,78,0.883626260132376,0.923,"Mor_2016_6",0.969550003781225,"in","in"
"A441...29",21.8730158730159,28,0.787135964320838,0.81,"Mor_2016_6",0.969550003781225,"in","in"
"PAM21...30",19.3934996220711,15,0.196452881206501,0.15,"Mor_2016_6",0.835940404746034,"in","in"
"PSY087...31",7.21748178980229,6,0.301202207095264,0.472,"Mor_2016_6",0.835940404746034,"in","in"
"PSY022...32",18.4113580246914,21,0.622844421775752,0.227,"Mor_2016_6",0.962577742744344,"in","in"
"WF12...33",0.837110263228889,3,0.840571688581999,0.583,"Mor_2016_6",0.969550003781225,"in","in"
"WF32...34",14.4355555555556,15,0.492784758159921,0.091,"Mor_2016_6",0.866612946132132,"in","in"
"J42...35",92.0555555555556,91,0.449336639845389,0.922,"Mt_2016_1",0.801868709698225,"in","in"
"WF22...36",220.5,253,0.93080175594179,0.57,"Mt_2016_1",0.992367753512353,"in","in"
