"","pop1","pop2","stat","p.value","test","padj","significance"
"1","Mor","Jam",-1.63316468574247,0.102434364992897,"Ht",0.146334807132711,"not significant"
"2","Mor","Mt",-2.01186954040739,0.0442336910136779,"Ht",0.0884673820273558,"not significant"
"3","Nap","Mt",1.70441057567686,0.0883044095274372,"Ht",0.146334807132711,"not significant"
"4","Shin","Mt",-2.62726492923789,0.00860742903798412,"Ht",0.0286914301266137,"significant"
"5","Jam","Nap",-0.260359587582133,0.794586412667886,"Ht",0.882873791853207,"not significant"
"6","Mor","Nap",-2.3432362882392,0.0191172715435465,"Ht",0.0477931788588665,"significant"
"7","Mt","Nap",-1.70441057567686,0.0883044095274373,"Ht",0.146334807132711,"not significant"
"8","Shin","Nap",-3.10108035296762,0.00192815959931518,"Ht",0.0192815959931525,"significant"
"9","Jam","Shin",2.674603036071,0.00748177816152684,"Ht",0.0286914301266137,"significant"
"10","Mor","Shin",-0.0710071602496726,0.943392056822656,"Ht",0.943392056822656,"not significant"
"11","Mt","Shin",2.62726492923789,0.00860742903798406,"Ht",0.0286914301266137,"significant"
"12","Mt","Jam",-1.15978361741132,0.246136915767426,"Ht",0.307671144709283,"not significant"
"13","Nap","Shin",3.10108035296762,0.00192815959931525,"Ht",0.0192815959931525,"significant"
"14","Nap","Jam",0.260359587582133,0.794586412667886,"Ht",0.882873791853207,"not significant"
"15","Shin","Jam",-2.674603036071,0.00748177816152685,"Ht",0.0286914301266137,"significant"
"16","Jam","Mor",1.63316468574247,0.102434364992897,"Ht",0.146334807132711,"not significant"
"17","Mt","Mor",2.01186954040739,0.0442336910136778,"Ht",0.0884673820273558,"not significant"
"18","Nap","Mor",2.3432362882392,0.0191172715435466,"Ht",0.0477931788588665,"significant"
"19","Shin","Mor",0.0710071602496726,0.943392056822656,"Ht",0.943392056822656,"not significant"
"20","Jam","Mt",1.15978361741132,0.246136915767426,"Ht",0.307671144709283,"not significant"
"21","Mor","Jam",-0.213021480749018,0.831310207979425,"Fis",0.981116590883351,"not significant"
"22","Mor","Mt",0.449712014914593,0.652918106804906,"Fis",0.981116590883351,"not significant"
"23","Nap","Mt",-0.0236690534165575,0.981116590883351,"Fis",0.981116590883351,"not significant"
