"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"1","ALL","A441",16,0.807978753964275,0.8742,0.8704,0.8661,-0.0043,2.19245529724656,0.865396572231834,7.42923130993624
"2","ALL","J42",26,0.545219144632578,0.859,0.8576,0.8564,-0.0016,2.52109045799234,0.861849506459573,7.2384830077163
"3","ALL","PAM21",13,0.820244636872321,0.7159,0.7982,0.8061,0.1032,1.79793677899991,0.805133512426418,5.13171870880259
"4","ALL","PAM27",25,0.637233943134455,0.7755,0.8255,0.8261,0.0606,2.14611994640038,0.827946459487535,5.8121442721927
"5","ALL","PAM79",46,0.75904694980191,0.9431,0.9636,0.9608,0.0213,3.44588297461414,0.958425132190354,24.0529928941347
"6","ALL","PSY022",15,0.633568333289303,0.671,0.6017,0.6002,-0.1152,1.1894960393663,0.591498754004984,2.4479729494196
"7","ALL","PSY087",6,0.556552878782015,0.5941,0.4853,0.4902,-0.224,0.965183966578472,0.47494131620047,1.90454901681391
"8","ALL","WF12",7,0.820409703471598,0.6265,0.6068,0.6049,-0.0325,1.06833359068779,0.610502946877101,2.56741351951761
"9","ALL","WF16",26,0.598888910070659,0.8489,0.8457,0.8419,-0.0038,2.26538126412676,0.837959176085663,6.17128434578099
"10","ALL","WF196",25,0.757867863346782,0.9206,0.9106,0.9135,-0.011,2.70458268246011,0.913575548790258,11.5707995365006
"11","ALL","WF22",42,0.8446100182396,0.956,0.9612,0.961,0.0054,3.34851407789732,0.958666309439122,24.1933392936969
"12","ALL","WF223",34,0.8157403595453,0.9386,0.9383,0.941,-3e-04,3.00405861016607,0.939887504933994,16.6354765161879
"13","ALL","WF3",19,0.511240903411785,0.7768,0.7674,0.766,-0.0123,1.97679905196259,0.760749070870178,4.17971208570472
"14","ALL","WF33",37,0.826472781081272,0.9549,0.9542,0.9532,-7e-04,3.22467802230582,0.952280011359487,20.9555791710946
"15","ALL","WF421",28,0.731446007681919,0.9553,0.8993,0.9027,-0.0623,2.62098908936299,0.903151793261683,10.3254364089776
"16","ALL","WF517",43,0.80696334093393,0.9027,0.9533,0.9575,0.0531,3.33551085329017,0.956260903079232,22.8628405797101
"17","Atl","A441",16,0.807978753964275,0.8603,0.867,0.867,0.0077,2.19245529724656,0.865396572231834,7.42923130993624
"18","Atl","J42",26,0.545219144632578,0.8584,0.8632,0.8632,0.0055,2.52109045799234,0.861849506459573,7.2384830077163
"19","Atl","PAM21",13,0.820244636872321,0.7356,0.8068,0.8068,0.0882,1.79793677899991,0.805133512426418,5.13171870880259
"20","Atl","PAM27",25,0.637233943134455,0.7961,0.8294,0.8294,0.0402,2.14611994640038,0.827946459487535,5.8121442721927
"21","Atl","PAM79",46,0.75904694980191,0.9335,0.96,0.96,0.0275,3.44588297461414,0.958425132190354,24.0529928941347
"22","Atl","PSY022",15,0.633568333289303,0.6604,0.5925,0.5925,-0.1146,1.1894960393663,0.591498754004984,2.4479729494196
"23","Atl","PSY087",6,0.556552878782015,0.5719,0.4755,0.4755,-0.2026,0.965183966578472,0.47494131620047,1.90454901681391
"24","Atl","WF12",7,0.820409703471598,0.6321,0.6114,0.6114,-0.0338,1.06833359068779,0.610502946877101,2.56741351951761
"25","Atl","WF16",26,0.598888910070659,0.8476,0.8392,0.8392,-0.0099,2.26538126412676,0.837959176085663,6.17128434578099
"26","Atl","WF196",25,0.757867863346782,0.9146,0.915,0.915,5e-04,2.70458268246011,0.913575548790258,11.5707995365006
"27","Atl","WF22",42,0.8446100182396,0.9514,0.9601,0.9601,0.0091,3.34851407789732,0.958666309439122,24.1933392936969
"28","Atl","WF223",34,0.8157403595453,0.9371,0.9415,0.9415,0.0046,3.00405861016607,0.939887504933994,16.6354765161879
"29","Atl","WF3",19,0.511240903411785,0.7712,0.762,0.762,-0.0122,1.97679905196259,0.760749070870178,4.17971208570472
"30","Atl","WF33",37,0.826472781081272,0.9554,0.9538,0.9538,-0.0017,3.22467802230582,0.952280011359487,20.9555791710946
"31","Atl","WF421",28,0.731446007681919,0.9524,0.9047,0.9047,-0.0527,2.62098908936299,0.903151793261683,10.3254364089776
"32","Atl","WF517",43,0.80696334093393,0.9076,0.9579,0.9579,0.0524,3.33551085329017,0.956260903079232,22.8628405797101
"33","Jam","A441",8,0.929671667651925,0.6129,0.8586,0.8586,0.2862,1.96782541029667,0.851239669421488,6.72222222222222
"34","Jam","J42",16,0.68807694791396,0.9032,0.8941,0.8941,-0.0102,2.45434850069751,0.879812695109261,8.32034632034632
"35","Jam","PAM21",7,0.851931893802466,0.5806,0.8371,0.8371,0.3064,1.6595229987833,0.783854166666667,4.62650602409639
"36","Jam","PAM27",12,0.63734409298235,0.7097,0.7823,0.7823,0.0928,1.69929070838426,0.740190249702735,3.84897025171625
"37","Jam","PAM79",31,0.875792716581127,0.9032,0.9758,0.9758,0.0744,3.29242801699452,0.957788347205707,23.6901408450704
"38","Jam","PSY022",6,0.715810771265386,0.5806,0.5914,0.5914,0.0182,1.00738583905108,0.554444444444445,2.24438902743142
"39","Jam","PSY087",5,0.61027626674409,0.6129,0.5737,0.5737,-0.0684,1.06400333083962,0.536666666666667,2.15827338129496
"40","Jam","WF12",3,0.87633503635278,0.7097,0.6124,0.6124,-0.1589,1.00829154351597,0.604058272632674,2.52562417871222
"41","Jam","WF16",14,0.660959456502543,0.7419,0.8548,0.8548,0.1321,2.12319246371483,0.829444444444444,5.86319218241042
"42","Jam","WF196",17,0.783382825762475,1,0.9151,0.9151,-0.0928,2.54197714895608,0.901664932362123,10.1693121693122
"43","Jam","WF22",28,0.882309978442414,0.9677,0.9688,0.9688,0.0011,3.18099753381243,0.953173777315297,21.3555555555556
"44","Jam","WF223",19,0.850583291185129,0.9355,0.9473,0.9473,0.0125,2.76640086326966,0.926872770511296,13.6747967479675
"45","Jam","WF3",11,0.678909498623121,0.8387,0.8323,0.8323,-0.0078,1.97266297063536,0.807777777777778,5.20231213872832
"46","Jam","WF33",24,0.891557112435621,0.9355,0.9656,0.9656,0.0312,3.05071101681747,0.947222222222222,18.9473684210526
"47","Jam","WF421",15,0.851122768646398,0.9032,0.9258,0.9258,0.0244,2.47444894939476,0.902497027348395,10.2560975609756
"48","Jam","WF517",23,0.869128811210161,0.8387,0.9624,0.9624,0.1285,2.97538100259959,0.941736028537455,17.1632653061224
"49","Jam_6","A441",8,0.929671667651925,0.6129,0.8586,0.8586,0.2862,1.96782541029667,0.851239669421488,6.72222222222222
"50","Jam_6","J42",16,0.68807694791396,0.9032,0.8941,0.8941,-0.0102,2.45434850069751,0.879812695109261,8.32034632034632
"51","Jam_6","PAM21",7,0.851931893802466,0.5806,0.8371,0.8371,0.3064,1.6595229987833,0.783854166666667,4.62650602409639
"52","Jam_6","PAM27",12,0.63734409298235,0.7097,0.7823,0.7823,0.0928,1.69929070838426,0.740190249702735,3.84897025171625
"53","Jam_6","PAM79",31,0.875792716581127,0.9032,0.9758,0.9758,0.0744,3.29242801699452,0.957788347205707,23.6901408450704
"54","Jam_6","PSY022",6,0.715810771265386,0.5806,0.5914,0.5914,0.0182,1.00738583905108,0.554444444444445,2.24438902743142
