"","GRP","variable","av_meanvar","av_sd"
"1","ALL","EVENNESS",0.717092783016231,0.11669074347919
"2","ALL","Fis",-0.014025,0.0744628721802573
"3","ALL","Ho",0.83206875,0.123693183421723
"4","ALL","Hs",0.82744375,0.145364369631397
"5","ALL","Ht",0.827975,0.14513978319767
"6","ALL","N_ALLELES",25.5,12.4686272968064
"7","ALL","SHANNON_IDX",2.36293829396611,0.81701030137785
"8","ALL","SIMPSON_IDX",0.826139032356118,0.147646522773018
"9","ALL","STODD_TAYLOR_IDX",10.8424358510117,8.17101908129452
"10","Atl","EVENNESS",0.717092783016231,0.11669074347919
"11","Atl","Fis",-0.0119875,0.0678926787903772
"12","Atl","Ho",0.83035,0.124070168318846
"13","Atl","Hs",0.8275,0.147925463212615
"14","Atl","Ht",0.8275,0.147925463212615
"15","Atl","N_ALLELES",25.5,12.4686272968064
"16","Atl","SHANNON_IDX",2.36293829396611,0.81701030137785
"17","Atl","SIMPSON_IDX",0.826139032356118,0.147646522773018
"18","Atl","STODD_TAYLOR_IDX",10.8424358510117,8.17101908129452
"19","Jam","EVENNESS",0.790824571006372,0.106827838148411
"20","Jam","Fis",0.04810625,0.123189791074585
"21","Jam","Ho",0.798375,0.147358286725473
"22","Jam","Hs",0.84359375,0.136992629820002
"23","Jam","Ht",0.84359375,0.136992629820002
"24","Jam","N_ALLELES",14.9375,8.38624866472886
"25","Jam","SHANNON_IDX",2.20242926861019,0.767926085857554
"26","Jam","SIMPSON_IDX",0.819902718273041,0.142013879626499
"27","Jam","STODD_TAYLOR_IDX",9.79802327081343,7.11147508212252
"28","Jam_6","EVENNESS",0.790824571006372,0.106827838148411
"29","Jam_6","Fis",0.04810625,0.123189791074585
"30","Jam_6","Ho",0.798375,0.147358286725473
"31","Jam_6","Hs",0.84359375,0.136992629820002
"32","Jam_6","Ht",0.84359375,0.136992629820002
"33","Jam_6","N_ALLELES",14.9375,8.38624866472886
"34","Jam_6","SHANNON_IDX",2.20242926861019,0.767926085857554
"35","Jam_6","SIMPSON_IDX",0.819902718273041,0.142013879626499
"36","Jam_6","STODD_TAYLOR_IDX",9.79802327081343,7.11147508212252
"37","Mor","EVENNESS",0.755390301389635,0.103935826334378
"38","Mor","Fis",0.07166875,0.190814470865463
"39","Mor","Ho",0.7567,0.176995547966608
"40","Mor","Hs",0.8213125,0.134894768245474
"41","Mor","Ht",0.8213125,0.134894768245474
"42","Mor","N_ALLELES",13.625,7.54431353183752
"43","Mor","SHANNON_IDX",2.09945776928594,0.691625878486428
"44","Mor","SIMPSON_IDX",0.805808771008996,0.133126135499569
"45","Mor","STODD_TAYLOR_IDX",8.10402348074378,5.58112500122404
"46","Mor_6","EVENNESS",0.755390301389635,0.103935826334378
"47","Mor_6","Fis",0.07166875,0.190814470865463
"48","Mor_6","Ho",0.7567,0.176995547966608
"49","Mor_6","Hs",0.8213125,0.134894768245474
"50","Mor_6","Ht",0.8213125,0.134894768245474
"51","Mor_6","N_ALLELES",13.625,7.54431353183752
"52","Mor_6","SHANNON_IDX",2.09945776928594,0.691625878486428
"53","Mor_6","SIMPSON_IDX",0.805808771008996,0.133126135499569
"54","Mor_6","STODD_TAYLOR_IDX",8.10402348074378,5.58112500122404
"55","Mt","EVENNESS",0.763641447008719,0.109484850319683
"56","Mt","Fis",0.07480875,0.125008436318647
"57","Mt","Ho",0.7758345625,0.145277667825272
"58","Mt","Hs",0.84357125,0.138873772547831
"59","Mt","Ht",0.84357125,0.138873772547831
"60","Mt","N_ALLELES",14.51125,7.20882560939482
"61","Mt","SHANNON_IDX",2.16683071966897,0.723289677710358
"62","Mt","SIMPSON_IDX",0.812132300057499,0.150775551361115
"63","Mt","STODD_TAYLOR_IDX",8.8051650350184,5.7051423070546
"64","Mt_1","EVENNESS",0.774940523596527,0.0976411698164528
"65","Mt_1","Fis",0.02873125,0.117335187781273
"66","Mt_1","Ho",0.8151,0.124508714554444
"67","Mt_1","Hs",0.8449375,0.1246761772219
"68","Mt_1","Ht",0.8449375,0.1246761772219
"69","Mt_1","N_ALLELES",13.5,6.82153452921946
"70","Mt_1","SHANNON_IDX",2.13499016202484,0.686849513095223
"71","Mt_1","SIMPSON_IDX",0.814755184202267,0.134093060354863
"72","Mt_1","STODD_TAYLOR_IDX",8.55648835406139,5.7854392589143
"73","Mt_2","EVENNESS",0.763793670738889,0.11059609473327
"74","Mt_2","Fis",0.0905375,0.146130265516764
"75","Mt_2","Ho",0.75893125,0.13831327590534
"76","Mt_2","Hs",0.84105625,0.131796711991106
"77","Mt_2","Ht",0.84105625,0.131796711991106
"78","Mt_2","N_ALLELES",14.3125,7.43611681816076
"79","Mt_2","SHANNON_IDX",2.17906710643708,0.724460216208722
"80","Mt_2","SIMPSON_IDX",0.814699790146109,0.142233649352769
"81","Mt_2","STODD_TAYLOR_IDX",9.04086867575124,6.21041038246499
"82","Mt_3","EVENNESS",0.799260482315825,0.101585911474778
"83","Mt_3","Fis",0.0838875625,0.142757381039475
"84","Mt_3","Ho",0.76975025,0.168370429903334
"85","Mt_3","Hs",0.844245,0.147207640936196
"86","Mt_3","Ht",0.844245,0.147207640936196
"87","Mt_3","N_ALLELES",10.95,5.20691047231145
"88","Mt_3","SHANNON_IDX",2.00569854310814,0.668335661197067
"89","Mt_3","SIMPSON_IDX",0.796038754249285,0.156872014611187
"90","Mt_3","STODD_TAYLOR_IDX",7.53593167904789,4.38028209712239
"91","Mt_4","EVENNESS",0.823176586527861,0.0899618897629804
"92","Mt_4","Fis",0.067025,0.125434272296955
"93","Mt_4","Ho",0.80209375,0.157750830821901
"94","Mt_4","Hs",0.85960625,0.120988321578297
"95","Mt_4","Ht",0.85960625,0.120988321578297
"96","Mt_4","N_ALLELES",9.75,3.85573166424567
"97","Mt_4","SHANNON_IDX",1.97796547815845,0.54865115480307
"98","Mt_4","SIMPSON_IDX",0.807237654320988,0.133995190086509
"99","Mt_4","STODD_TAYLOR_IDX",7.12884165730241,3.53096573290156
"100","Mt_5","EVENNESS",0.77741609836996,0.111878470657495
"101","Mt_5","Fis",0.0683125,0.159655240544535
"102","Mt_5","Ho",0.765625,0.191621371459449
"103","Mt_5","Hs",0.828,0.164757300293492
"104","Mt_5","Ht",0.828,0.164757300293492
"105","Mt_5","N_ALLELES",11.1875,5.75289782051909
"106","Mt_5","SHANNON_IDX",1.97424230393565,0.714366111176084
"107","Mt_5","SIMPSON_IDX",0.780731619701936,0.173056469292455
"108","Mt_5","STODD_TAYLOR_IDX",7.28485208569556,4.38713588368093
"109","Nap","EVENNESS",0.781040004360707,0.0930267580826853
"110","Nap","Fis",0.091275,0.199229638022727
"111","Nap","Ho",0.76620625,0.199560926264804
"112","Nap","Hs",0.84188125,0.128352894883598
"113","Nap","Ht",0.84188125,0.128352894883598
"114","Nap","N_ALLELES",14.5625,7.641716648328
"115","Nap","SHANNON_IDX",2.20922850339173,0.718700458841596
"116","Nap","SIMPSON_IDX",0.824805997852341,0.131755697560883
"117","Nap","STODD_TAYLOR_IDX",9.37970111120783,6.24777221951449
"118","Nap_6","EVENNESS",0.781040004360707,0.0930267580826853
"119","Nap_6","Fis",0.091275,0.199229638022727
"120","Nap_6","Ho",0.76620625,0.199560926264804
"121","Nap_6","Hs",0.84188125,0.128352894883598
"122","Nap_6","Ht",0.84188125,0.128352894883598
"123","Nap_6","N_ALLELES",14.5625,7.641716648328
"124","Nap_6","SHANNON_IDX",2.20922850339173,0.718700458841596
"125","Nap_6","SIMPSON_IDX",0.824805997852341,0.131755697560883
"126","Nap_6","STODD_TAYLOR_IDX",9.37970111120783,6.24777221951449
"127","Shin","EVENNESS",0.753332949461028,0.125447488758817
"128","Shin","Fis",0.1221958125,0.143490164182369
"129","Shin","Ho",0.732041,0.170843917541226
"130","Shin","Hs",0.834732625,0.144668176467736
"131","Shin","Ht",0.834732625,0.144668176467736
"132","Shin","N_ALLELES",14.35625,7.60590779153503
"133","Shin","SHANNON_IDX",2.14404383200565,0.733658496060974
"134","Shin","SIMPSON_IDX",0.804913391192783,0.157779438481971
"135","Shin","STODD_TAYLOR_IDX",8.61492583748872,5.80639834034075
"136","Shin_1","EVENNESS",0.73772729211884,0.137809711341074
"137","Shin_1","Fis",0.1232,0.119407855687974
"138","Shin_1","Ho",0.7267125,0.142917089600929
"139","Shin_1","Hs",0.83324375,0.141818263839089
"140","Shin_1","Ht",0.83324375,0.141818263839089
