"","LOCUS","ALL","Jam","Mor","Mt","Nap","Shin"
"1","A441",3.83405790253616,2.97837332282866,2.99382481334279,3.40091190116897,3.16227766016838,3.32977983320674
"2","J42",4.69680742632695,3.95599186986952,3.72208222691226,4.01730905377701,3.74165738677394,3.96959226992965
"3","PAM21",3.48137903710584,2.78243026433491,2.63899331455874,2.93490942461229,2.82842712474619,2.76998021680647
"4","PAM27",4.57711699653832,3.45921027668001,3.28949528359279,3.48279697882477,3.60555127546399,3.35735838979656
"5","PAM79",6.53681879816169,5.47048295825646,4.94600717882486,5.09415207064637,5.29150262212918,5.09789669039002
"6","PSY022",3.77888872553824,2.56579213205965,2.81554128495263,2.47897959853317,2.82842712474619,2.53026207803034
"7","PSY087",2.56124969497314,2.41992463980801,2,2.19858265622486,2,2.26951810138336
"8","WF12",2.2781571499789,1.73205080756888,1.73205080756888,2.18711826413113,2,2.0109077685045
"9","WF16",4.6518813398452,3.78072462216652,3.585504728186,3.74491703365191,3.74165738677394,3.59419719540484
"10","WF196",5.01896403653184,4.03821589852033,4.09251772124462,4.07168285045668,4.12310562561766,3.94258659025031
"11","WF22",6.21932472218649,5.14494289935896,5.16437597593158,4.81764218720125,5.09901951359278,4.88446543878144
"12","WF223",5.37680202350803,4.40492936053525,4.09259705435933,4.34975306967223,4.79583152331272,4.45425607141757
"13","WF3",3.98873413503583,3.40336772996066,3.14529126518629,3.44797727301386,3.46410161513775,3.39769930950996
"14","WF33",5.85320425066476,4.91668497442696,4.86185791006507,4.70738065573995,4.79583152331272,4.80272558715993
"15","WF421",5.17493961317424,3.93076560413155,3.71763086128508,3.89375092554772,4.35889894354067,3.87460395216723
"16","WF517",6.26418390534633,4.79583423173103,4.65574634467708,4.80962314247389,4.58257569495584,4.86244771946173
