"","LOCUS","ALL","Jam","Mor","Mt","Nap","Shin"
"1","A441",14.7,8.87070765013742,8.96298701298701,11.5662017595127,10,11.0874337376303
"2","J42",22.06,15.6498716744738,13.8538961038961,16.1387720335587,14,15.7576627894853
"3","PAM21",12.12,7.74191817588683,6.96428571428571,8.61369333067806,8,7.6727904014992
"4","PAM27",20.95,11.9661357382886,10.8207792207792,12.1298747957109,13,11.2718553575374
"5","PAM79",42.73,29.9261837965743,24.462987012987,25.9503853188707,28,25.9885506658895
"6","PSY022",14.28,6.58328926493918,7.92727272727273,6.14533984994365,8,6.40222618351841
"7","PSY087",6.56,5.85603526234992,4,4.83376569625275,4,5.15071241250675
"8","WF12",5.19,3,3,4.78348630129598,4,4.04375005343176
"9","WF16",21.64,14.2938786686562,12.8558441558442,14.0244035889362,14,12.918253479456
"10","WF196",25.19,16.3071876430623,16.7487012987013,16.578601234703,17,15.5439890216216
"11","WF22",38.68,26.4704374376642,26.6707792207792,23.2096762439013,26,23.8580026226503
"12","WF223",28.91,19.4034026713055,16.7493506493506,18.920351767123,23,19.8403971497603
"13","WF3",15.91,11.5829119053376,9.89285714285714,11.8885472752201,12,11.5443605978444
"14","WF33",34.26,24.1737911377558,23.6376623376623,22.1594326380347,23,23.0661730655607
"15","WF421",26.78,15.4509182346237,13.8207792207792,15.1612962702037,19,15.0125557861499
"16","WF517",39.24,23.0000259782431,21.675974025974,23.1324747726204,21,23.6433978244985
