"","locus","Ho","Hs","Ht","Dst","Htp","Dstp","Fst","Fstp","Fis","Dest","Bay"
"1","J42",0.8687,0.8614,0.8597,-0.0017,0.8595,-0.0019,-0.0019,-0.0022,-0.0085,-0.0138,"ALL"
"2","WF22",0.954,0.9615,0.9614,-1e-04,0.9613,-1e-04,-1e-04,-1e-04,0.0078,-0.0036,"ALL"
"3","PAM27",0.775,0.8274,0.8277,3e-04,0.8278,3e-04,3e-04,4e-04,0.0633,0.0019,"ALL"
"4","PAM79",0.9387,0.9638,0.961,-0.0028,0.9606,-0.0032,-0.0029,-0.0033,0.0261,-0.0885,"ALL"
"5","WF16",0.8437,0.844,0.8406,-0.0033,0.8401,-0.0038,-0.004,-0.0046,3e-04,-0.0245,"ALL"
"6","WF33",0.9526,0.9538,0.9532,-6e-04,0.9531,-7e-04,-6e-04,-7e-04,0.0013,-0.0147,"ALL"
"7","WF3",0.7745,0.7645,0.763,-0.0016,0.7627,-0.0018,-0.002,-0.0023,-0.0131,-0.0076,"ALL"
"8","WF517",0.9023,0.9523,0.9572,0.0049,0.9579,0.0056,0.0051,0.0058,0.0525,0.1171,"ALL"
"9","WF196",0.9208,0.9096,0.9124,0.0028,0.9128,0.0032,0.0031,0.0035,-0.0123,0.0358,"ALL"
"10","WF223",0.9359,0.9382,0.9407,0.0025,0.9411,0.0029,0.0027,0.0031,0.0025,0.0468,"ALL"
"11","WF421",0.9518,0.8983,0.9021,0.0039,0.9027,0.0044,0.0043,0.0049,-0.0596,0.0433,"ALL"
"12","A441",0.8737,0.8695,0.8654,-0.0041,0.8648,-0.0047,-0.0047,-0.0054,-0.0048,-0.036,"ALL"
"13","PAM21",0.7101,0.7961,0.8056,0.0095,0.8069,0.0108,0.0117,0.0134,0.1081,0.053,"ALL"
"14","PSY087",0.599,0.4881,0.4933,0.0051,0.494,0.0058,0.0104,0.0118,-0.2272,0.0114,"ALL"
"15","PSY022",0.6695,0.6006,0.6008,2e-04,0.6008,2e-04,3e-04,3e-04,-0.1146,4e-04,"ALL"
"16","WF12",0.6246,0.6064,0.6042,-0.0022,0.6039,-0.0025,-0.0037,-0.0042,-0.03,-0.0064,"ALL"
"17","WF32",0.6761,0.8543,0.8607,0.0064,0.8616,0.0073,0.0074,0.0085,0.2086,0.0502,"ALL"
