"","rowname","strata.1","strata.2","Fst","Pr.exact","Pr.adj","sig"
"1","Jam (31) v. Mor (27)","Jam","Mor",0.00608833636889632,0.027972027972028,0.0932400932400932,"not sig"
"2","Jam (31) v. Mt (144)","Jam","Mt",0.00309495013879674,0.015984015984016,0.0799200799200799,"not sig"
"3","Jam (31) v. Nap (26)","Jam","Nap",-0.000557829843925046,0.566433566433566,0.629370629370629,"not sig"
"4","Jam (31) v. Shin (107)","Jam","Shin",0.00476899841754404,0.00799200799200799,0.0799200799200799,"not sig"
"5","Mor (27) v. Mt (144)","Mor","Mt",8.90958158964842e-05,0.454545454545455,0.629370629370629,"not sig"
"6","Mor (27) v. Nap (26)","Mor","Nap",0.00437509549468364,0.104895104895105,0.262237762237762,"not sig"
"7","Mor (27) v. Shin (107)","Mor","Shin",-0.00145892129659242,0.787212787212787,0.787212787212787,"not sig"
"8","Mt (144) v. Nap (26)","Mt","Nap",0.00176635134980035,0.140859140859141,0.281718281718282,"not sig"
"9","Mt (144) v. Shin (107)","Mt","Shin",-0.000124712030280274,0.549450549450549,0.629370629370629,"not sig"
"10","Nap (26) v. Shin (107)","Nap","Shin",0.00135660983868123,0.214785214785215,0.357975357975358,"not sig"
