"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"1","Atl","J42",26,0.551473115668409,0.8657,0.8654,0.8654,-3e-04,2.52816775069356,0.864107819113388,7.35877512212714
"2","Atl","WF22",42,0.846395208788123,0.9488,0.9604,0.9604,0.0121,3.35389623756178,0.95896991580781,24.3723604201216
"3","Atl","PAM27",25,0.639090946058897,0.7967,0.831,0.831,0.0413,2.15387484130729,0.829604944907283,5.86871490757681
"4","Atl","PAM79",46,0.762960444544388,0.9279,0.9601,0.9601,0.0335,3.44370164035345,0.958540108686039,24.1196966105712
"5","Atl","WF16",26,0.595802669980877,0.8429,0.8382,0.8382,-0.0056,2.26339290380175,0.836953843064594,6.13323256920536
"6","Atl","WF33",37,0.82611589868543,0.9528,0.9538,0.9538,0.001,3.22585284833866,0.952315968513904,20.9713811696392
"7","Atl","WF3",19,0.506239235800738,0.7695,0.7593,0.7593,-0.0134,1.97263531720109,0.758069446786979,4.1334175726019
"8","Atl","WF517",43,0.804166154733957,0.9079,0.9576,0.9576,0.0519,3.3336468233337,0.956034265558075,22.7449856733524
"9","Atl","WF196",25,0.758372363637117,0.9148,0.9141,0.9141,-7e-04,2.69368792326478,0.912701887768811,11.4550014249074
"10","Atl","WF223",34,0.818141295590447,0.9344,0.9413,0.9413,0.0073,2.99891150337236,0.93974737973663,16.5967885816235
"11","Atl","WF421",27,0.731942843011001,0.9489,0.9041,0.9041,-0.0495,2.6140913917691,0.902558740476317,10.2625931241884
"12","Atl","A441",16,0.807799345791786,0.8592,0.8662,0.8662,0.0081,2.18705027271793,0.864660037274042,7.38880061630314
"13","Atl","PAM21",13,0.823337685909699,0.7328,0.8064,0.8064,0.0913,1.79285699184256,0.804768078783288,5.122113196284
"14","Atl","PSY087",6,0.558435750259364,0.5758,0.4778,0.4778,-0.2051,0.968655508641958,0.477180899908173,1.91270747343462
"15","Atl","PSY022",15,0.632588975037954,0.6566,0.5919,0.5919,-0.1094,1.18878937738567,0.590879316482734,2.44426654600512
"16","Atl","WF12",7,0.819525672099496,0.6312,0.6108,0.6108,-0.0334,1.06745134850279,0.6099267578125,2.56362111482469
"17","Atl","WF32",25,0.633122097627347,0.6538,0.8536,0.8536,0.234,2.30987054847655,0.85172869088953,6.74439313984169
"18","Jam","J42",16,0.68807694791396,0.9032,0.8941,0.8941,-0.0102,2.45434850069751,0.879812695109261,8.32034632034632
"19","Jam","WF22",28,0.882309978442414,0.9677,0.9688,0.9688,0.0011,3.18099753381243,0.953173777315297,21.3555555555556
"20","Jam","PAM27",12,0.63734409298235,0.7586,0.7531,0.7531,-0.0074,1.69929070838426,0.740190249702735,3.84897025171625
"21","Jam","PAM79",31,0.875792716581127,0.9655,0.9748,0.9748,0.0095,3.29242801699452,0.957788347205707,23.6901408450704
"22","Jam","WF16",14,0.660959456502543,0.7667,0.8448,0.8448,0.0925,2.12319246371483,0.829444444444444,5.86319218241042
"23","Jam","WF33",24,0.891557112435621,0.9667,0.9632,0.9632,-0.0036,3.05071101681747,0.947222222222222,18.9473684210526
"24","Jam","WF3",11,0.678909498623121,0.8667,0.8207,0.8207,-0.056,1.97266297063536,0.807777777777778,5.20231213872832
"25","Jam","WF517",23,0.869128811210161,0.8966,0.9594,0.9594,0.0655,2.97538100259959,0.941736028537455,17.1632653061224
"26","Jam","WF196",17,0.783382825762475,1,0.9151,0.9151,-0.0928,2.54197714895608,0.901664932362123,10.1693121693122
"27","Jam","WF223",19,0.850583291185129,1,0.9421,0.9421,-0.0614,2.76640086326966,0.926872770511296,13.6747967479675
"28","Jam","WF421",15,0.851122768646398,0.9655,0.9175,0.9175,-0.0523,2.47444894939476,0.902497027348395,10.2560975609756
"29","Jam","A441",8,0.929671667651925,0.8636,0.8712,0.8712,0.0087,1.96782541029667,0.851239669421488,6.72222222222222
"30","Jam","PAM21",7,0.851931893802466,0.75,0.8016,0.8016,0.0644,1.6595229987833,0.783854166666667,4.62650602409639
"31","Jam","PSY087",5,0.61027626674409,0.6333,0.5443,0.5443,-0.1637,1.06400333083962,0.536666666666667,2.15827338129496
"32","Jam","PSY022",6,0.715810771265386,0.6,0.5632,0.5632,-0.0653,1.00738583905108,0.554444444444445,2.24438902743142
"33","Jam","WF12",3,0.87633503635278,0.7097,0.6124,0.6124,-0.1589,1.00829154351597,0.604058272632674,2.52562417871222
"34","Jam","WF32",13,0.761162122461869,0.8636,0.8799,0.8799,0.0185,2.20135445794427,0.859504132231405,7.11764705882353
"35","Mor","J42",14,0.574353699896915,0.8519,0.8234,0.8234,-0.0346,2.12315915278114,0.808641975308642,5.2258064516129
"36","Mor","WF22",27,0.88807408017494,1,0.9708,0.9708,-0.0301,3.17877951179211,0.953360768175583,21.4411764705882
"37","Mor","PAM27",10,0.726733240337382,0.7391,0.7974,0.7974,0.0731,1.76566780437737,0.77882797731569,4.52136752136752
"38","Mor","PAM79",25,0.764879571012968,0.963,0.948,0.948,-0.0158,2.92131568550804,0.930727023319616,14.4356435643564
"39","Mor","WF16",13,0.693510477285507,0.8519,0.8511,0.8511,-8e-04,2.11840282918003,0.835390946502058,6.075
"40","Mor","WF33",24,0.775693595250958,0.963,0.9494,0.9494,-0.0143,2.92835089072529,0.932098765432099,14.7272727272727
"41","Mor","WF3",10,0.571499938866244,0.7778,0.7407,0.7407,-0.05,1.73631160838302,0.727709190672154,3.67254408060453
"42","Mor","WF517",20,0.809865683555442,0.7826,0.9486,0.9486,0.175,2.77851461087733,0.924385633270321,13.225
"43","Mor","WF196",17,0.714472593452332,0.963,0.9003,0.9003,-0.0696,2.46361391018228,0.88477366255144,8.67857142857143
"44","Mor","WF223",16,0.855714161354047,0.913,0.9298,0.9298,0.0181,2.54242774747048,0.909262759924386,11.0208333333333
"45","Mor","WF421",13,0.838539600413758,0.9583,0.8995,0.8995,-0.0655,2.29344812092345,0.881944444444444,8.47058823529412
"46","Mor","A441",8,0.887836458333925,0.8667,0.869,0.869,0.0027,1.93344003320717,0.84,6.25
"47","Mor","PAM21",6,0.834176657916588,0.6842,0.7822,0.7822,0.1252,1.56349650040579,0.759002770083103,4.14942528735632
"48","Mor","PSY087",4,0.632607217688109,0.6667,0.5207,0.5207,-0.2804,0.982056824581015,0.513717421124829,2.05641748942172
"49","Mor","PSY022",7,0.699328862033996,0.8077,0.6723,0.6723,-0.2014,1.33511534043409,0.66198224852071,2.95842450765864
"50","Mor","WF12",3,0.810778492740914,0.4815,0.5755,0.5755,0.1634,0.951522718182474,0.563100137174211,2.28885400313972
"51","Mor","WF32",6,0.782836819498916,0.5,0.8036,0.8036,0.3778,1.51108617607361,0.734375,3.76470588235294
"52","Mt","J42",25,0.589171284325117,0.8681,0.8783,0.8783,0.0117,2.55779602664932,0.87524112654321,8.01546192500966
"53","Mt","WF22",32,0.879509132458403,0.9514,0.9588,0.9588,0.0078,3.23501097710905,0.955488040123457,22.465872156013
"54","Mt","PAM27",20,0.678924287207326,0.8015,0.8423,0.8423,0.0484,2.16029842605524,0.838966260707418,6.20987877691333
"55","Mt","PAM79",41,0.769809962689099,0.9338,0.9602,0.9602,0.0275,3.38915187381941,0.956612240484429,23.0479750778816
"56","Mt","WF16",24,0.603320428093501,0.8723,0.8453,0.8453,-0.032,2.28818879994496,0.842362054222625,6.34365028717294
"57","Mt","WF33",30,0.814541066408882,0.9489,0.9498,0.9498,0.001,3.12086289659773,0.946374340668123,18.6477893691008
"58","Mt","WF3",16,0.511473736615579,0.776,0.7618,0.7618,-0.0187,1.96713929047408,0.758784,4.14566197930486
"59","Mt","WF517",34,0.831021778777673,0.9078,0.9557,0.9557,0.0501,3.2169891418267,0.952165384035008,20.9053627760252
"60","Mt","WF196",21,0.798785872294087,0.8897,0.9177,0.9177,0.0305,2.66295600078208,0.914197664359862,11.6546943919345
"61","Mt","WF223",27,0.839591758141855,0.9398,0.94,0.94,2e-04,2.9210932407982,0.936485951721409,15.7445482866044
"62","Mt","WF421",23,0.705582339348148,0.9569,0.8942,0.8942,-0.0701,2.52914844988058,0.890643579072533,9.14441046551138
"63","Mt","A441",15,0.796986215163308,0.8837,0.8696,0.8696,-0.0162,2.21174217484416,0.866324139174328,7.4807821982468
"64","Mt","PAM21",12,0.808109643799783,0.7442,0.8062,0.8062,0.0769,1.79821072993543,0.80283636800673,5.07192928985066
"65","Mt","PSY087",6,0.565457237897521,0.5664,0.464,0.464,-0.2209,0.925395067063556,0.462687661988361,1.8611149032992
"66","Mt","PSY022",11,0.664571326647799,0.623,0.5681,0.5681,-0.0966,1.08593371405461,0.565976887933351,2.30402476780186
"67","Mt","WF12",7,0.786972742269699,0.6667,0.6204,0.6204,-0.0746,1.11779175013461,0.618271604938272,2.61966364812419
"68","Mt","WF32",19,0.669317312653423,0.6319,0.8458,0.8458,0.2528,2.19373209026745,0.842110339506173,6.33353695784973
"69","Nap","J42",14,0.648506737886657,0.9615,0.8654,0.8654,-0.1111,2.28021021039032,0.850591715976331,6.69306930693069
"70","Nap","WF22",26,0.884841593185679,0.9615,0.9692,0.9692,0.0079,3.12127111733354,0.950443786982249,20.1791044776119
"71","Nap","PAM27",12,0.797448273331124,0.76,0.8808,0.8808,0.1372,2.16958152043818,0.8608,7.18390804597701
"72","Nap","PAM79",28,0.867479090362591,1,0.9708,0.9708,-0.0301,3.18632810580237,0.952662721893491,21.125
"73","Nap","WF16",14,0.64887808963103,0.8462,0.8369,0.8369,-0.011,2.08800236949585,0.821005917159763,5.58677685950413
"74","Nap","WF33",22,0.849627209791549,0.8846,0.9562,0.9562,0.0748,2.90833938995611,0.936390532544379,15.7209302325581
"75","Nap","WF3",10,0.6139254939592,0.7826,0.7806,0.7806,-0.0025,1.8348959781747,0.763705103969754,4.232
