"","pop1","pop2","stat","p.value","test","bonferroni","significance"
"1","Mor","Jam",-2.01186954040739,0.0442336910136779,"Ht",0.005,"not significant"
"2","Mor","Mt",-1.3964741515769,0.162571759156289,"Ht",0.005,"not significant"
"3","Nap","Mt",1.68050279257559,0.0928595314306466,"Ht",0.005,"not significant"
"4","Shin","Mt",-1.3964741515769,0.162571759156289,"Ht",0.005,"not significant"
"5","Jam","Nap",-0.260359587582133,0.794586412667886,"Ht",0.005,"not significant"
"6","Mor","Nap",-2.3432362882392,0.0191172715435465,"Ht",0.005,"not significant"
"7","Mt","Nap",-1.68050279257559,0.0928595314306466,"Ht",0.005,"not significant"
"8","Shin","Nap",-1.82277242120998,0.0683378663632811,"Ht",0.005,"not significant"
"9","Jam","Shin",1.91719332674116,0.0552133755427149,"Ht",0.005,"not significant"
"10","Mor","Shin",-1.01776929691197,0.308787606311954,"Ht",0.005,"not significant"
"11","Mt","Shin",1.3964741515769,0.162571759156289,"Ht",0.005,"not significant"
"12","Mt","Jam",-1.58582657890936,0.112778654635699,"Ht",0.005,"not significant"
"13","Nap","Shin",1.82277242120998,0.0683378663632812,"Ht",0.005,"not significant"
"14","Nap","Jam",0.260359587582133,0.794586412667886,"Ht",0.005,"not significant"
"15","Shin","Jam",-1.91719332674116,0.0552133755427148,"Ht",0.005,"not significant"
"16","Jam","Mor",2.01186954040739,0.0442336910136778,"Ht",0.005,"not significant"
"17","Mt","Mor",1.3964741515769,0.162571759156289,"Ht",0.005,"not significant"
"18","Nap","Mor",2.3432362882392,0.0191172715435466,"Ht",0.005,"not significant"
"19","Shin","Mor",1.01776929691197,0.308787606311953,"Ht",0.005,"not significant"
"20","Jam","Mt",1.58582657890936,0.112778654635699,"Ht",0.005,"not significant"
"21","Mor","Jam",0.260359587582133,0.794586412667886,"Fis",0.005,"not significant"
"22","Mor","Mt",0.0710071602496726,0.943392056822656,"Fis",0.005,"not significant"
"23","Nap","Mt",-0.639064442247054,0.522781010466699,"Fis",0.005,"not significant"
"24","Shin","Mt",1.91719332674116,0.0552133755427149,"Fis",0.005,"not significant"
"25","Jam","Nap",-0.0710071602496726,0.943392056822656,"Fis",0.005,"not significant"
"26","Mor","Nap",0.449712014914593,0.652918106804906,"Fis",0.005,"not significant"
"27","Mt","Nap",0.639064442247054,0.522781010466699,"Fis",0.005,"not significant"
"28","Shin","Nap",1.34913604474378,0.177293272553184,"Fis",0.005,"not significant"
"29","Jam","Shin",-2.20122196773985,0.0277203138639453,"Fis",0.005,"not significant"
"30","Mor","Shin",-0.449775013025838,0.652872676527828,"Fis",0.005,"not significant"
"31","Mt","Shin",-1.91719332674116,0.0552133755427148,"Fis",0.005,"not significant"
"32","Mt","Jam",1.06510740374509,0.286827329244437,"Fis",0.005,"not significant"
"33","Nap","Shin",-1.34913604474378,0.177293272553184,"Fis",0.005,"not significant"
"34","Nap","Jam",0.0710071602496726,0.943392056822656,"Fis",0.005,"not significant"
"35","Shin","Jam",2.20122196773985,0.0277203138639452,"Fis",0.005,"not significant"
"36","Jam","Mor",-0.260359587582133,0.794586412667886,"Fis",0.005,"not significant"
"37","Mt","Mor",-0.0710071602496726,0.943392056822656,"Fis",0.005,"not significant"
"38","Nap","Mor",-0.449712014914593,0.652918106804906,"Fis",0.005,"not significant"
"39","Shin","Mor",0.449775013025838,0.652872676527828,"Fis",0.005,"not significant"
"40","Jam","Mt",-1.06510740374509,0.286827329244437,"Fis",0.005,"not significant"
"41","Mor","Jam",-1.86985521990805,0.0615039257031853,"EVENNESS",0.005,"not significant"
"42","Mor","Mt",2.15388386090674,0.0312492809296794,"EVENNESS",0.005,"not significant"
"43","Nap","Mt",3.19532221123527,0.00139674808900758,"EVENNESS",0.005,"significant"
"44","Shin","Mt",-0.781078762746399,0.434756171758432,"EVENNESS",0.005,"not significant"
"45","Jam","Nap",1.06510740374509,0.286827329244437,"EVENNESS",0.005,"not significant"
"46","Mor","Nap",-1.96453143357428,0.0494684946736889,"EVENNESS",0.005,"not significant"
"47","Mt","Nap",-3.19532221123527,0.00139674808900751,"EVENNESS",0.005,"significant"
"48","Shin","Nap",-2.91129357023658,0.00359935658362577,"EVENNESS",0.005,"significant"
"49","Jam","Shin",3.33733653173461,0.000845854622660402,"EVENNESS",0.005,"significant"
"50","Mor","Shin",2.10654575407362,0.0351569730959154,"EVENNESS",0.005,"not significant"
"51","Mt","Shin",0.781078762746399,0.434756171758432,"EVENNESS",0.005,"not significant"
"52","Mt","Jam",-3.24266031806838,0.00118419303566409,"EVENNESS",0.005,"significant"
"53","Nap","Shin",2.91129357023658,0.00359935658362587,"EVENNESS",0.005,"significant"
"54","Nap","Jam",-1.06510740374509,0.286827329244437,"EVENNESS",0.005,"not significant"
"55","Shin","Jam",-3.33733653173461,0.000845854622660453,"EVENNESS",0.005,"significant"
"56","Jam","Mor",1.86985521990805,0.0615039257031853,"EVENNESS",0.005,"not significant"
"57","Mt","Mor",-2.15388386090674,0.0312492809296794,"EVENNESS",0.005,"not significant"
"58","Nap","Mor",1.96453143357428,0.049468494673689,"EVENNESS",0.005,"not significant"
"59","Shin","Mor",-2.10654575407362,0.0351569730959155,"EVENNESS",0.005,"not significant"
"60","Jam","Mt",3.24266031806838,0.00118419303566419,"EVENNESS",0.005,"significant"
"61","Mor","Jam",-2.72194114290412,0.00648997000766563,"SHANNON_IDX",0.005,"not significant"
"62","Mor","Mt",-3.05330789073592,0.00226333587285808,"SHANNON_IDX",0.005,"significant"
"63","Nap","Mt",-2.48525060873854,0.0129460261274816,"SHANNON_IDX",0.005,"not significant"
"64","Shin","Mt",-1.63316468574247,0.102434364992897,"SHANNON_IDX",0.005,"not significant"
"65","Jam","Nap",0.923093083245744,0.355958698846575,"SHANNON_IDX",0.005,"not significant"
"66","Mor","Nap",-2.10654575407362,0.0351569730959155,"SHANNON_IDX",0.005,"not significant"
"67","Mt","Nap",2.48525060873854,0.0129460261274816,"SHANNON_IDX",0.005,"not significant"
"68","Shin","Nap",2.57992682240477,0.00988212534013977,"SHANNON_IDX",0.005,"not significant"
"69","Jam","Shin",-2.57992682240477,0.00988212534013968,"SHANNON_IDX",0.005,"not significant"
"70","Mor","Shin",-3.10064599756904,0.00193098993575791,"SHANNON_IDX",0.005,"significant"
"71","Mt","Shin",1.63316468574247,0.102434364992897,"SHANNON_IDX",0.005,"not significant"
"72","Mt","Jam",2.95863167706969,0.00309008192436067,"SHANNON_IDX",0.005,"significant"
"73","Nap","Shin",-2.57992682240477,0.00988212534013968,"SHANNON_IDX",0.005,"not significant"
"74","Nap","Jam",-0.923093083245744,0.355958698846575,"SHANNON_IDX",0.005,"not significant"
"75","Shin","Jam",2.57992682240477,0.00988212534013977,"SHANNON_IDX",0.005,"not significant"
"76","Jam","Mor",2.72194114290412,0.00648997000766571,"SHANNON_IDX",0.005,"not significant"
"77","Mt","Mor",3.05330789073592,0.0022633358728581,"SHANNON_IDX",0.005,"significant"
"78","Nap","Mor",2.10654575407362,0.0351569730959154,"SHANNON_IDX",0.005,"not significant"
"79","Shin","Mor",3.10064599756904,0.00193098993575802,"SHANNON_IDX",0.005,"significant"
"80","Jam","Mt",-2.95863167706969,0.00309008192436067,"SHANNON_IDX",0.005,"significant"
