Ind,sex
241,F
242,F
243,F
245,F
246,NA
247,NA
249,M
250,F
251,NA
252,M
253,F
254,M
255,F
256,F
257,F
258,F
259,NA
260,M
261,F
262,F
263,M
264,F
265,M
266,F
267,F
268,F
269,NA
270,NA
271,NA
272,F
273,NA
274,F
275,F
276,NA
277,F
278,F
279,M
280,M
281,F
282,F
283,F
284,M
285,M
286,M
287,M
288,F
289,M
290,F
291,M
292,M
293,M
294,F
295,F
296,M
297,F
298,M
299,F
300,F
301,M
302,F
303,M
304,F
305,M
306,F
307,F
308,F
309,F
310,F
311,M
312,F
313,F
314,F
315,F
316,F
317,F
318,F
319,F
320,F
321,F
322,M
323,M
324,F
325,F
326,F
327,F
328,F
329,F
330,M
331,F
332,M
