pair.no ind1.id ind2.id trioml trioml.low trioml.high
1 70 71 0 0 0.1686
2 70 72 0 0 0.35
3 70 73 0.0922 0 0.4791
4 70 74 0 0 0.0299
5 70 75 0.1228 0 0.462
6 70 76 0.0925 0 0.3736
7 70 77 0.0039 0 0.2121
8 70 78 0.0698 0 0.2533
9 70 79 0.0377 0 0.2846
10 70 80 0 0 0.2415
11 70 81 0 0 0.2561
12 70 82 0.0609 0 0.2729
13 70 84 0 0 0.2107
14 70 85 0 0 0.1908
15 70 86 0 0 0.201
16 70 87 0 0 0.1372
17 70 88 0.0147 0 0.3139
18 70 89 0.0365 0 0.2939
19 70 90 0.1707 0.0285 0.4778
20 70 91 0.0373 0 0.2543
21 70 92 0.0292 0 0.2276
22 70 93 0.0507 0 0.3091
23 70 94 0.0469 0 0.4012
24 70 95 0.0687 0 0.2534
25 70 96 0 0 0.1512
26 70 97 0.0178 0 0.3747
27 70 98 0.0299 0 0.2319
28 70 99 0.1911 0 0.5892
29 70 100 0.0368 0.0173 0.3555
30 70 101 0.0843 0 0.2818
31 70 39 0.0824 0 0.3307
32 70 40 0.0859 0 0.4914
33 70 43 0 0 0.1319
34 70 44 0 0 0.1357
35 70 45 0 0 0.1105
36 70 46 0.1661 0.0319 0.5382
37 70 47 0.032 0 0.2883
38 70 48 0.1534 0.0378 0.4473
39 70 49 0.0254 0 0.3012
40 70 51 0.1296 0.0039 0.386
41 70 52 0.1482 0 0.4487
42 70 53 0.0962 0.0222 0.2865
43 70 54 0.0252 0 0.3493
44 70 55 0 0 0.123
45 70 56 0.0028 0 0.2267
46 70 57 0.0431 0 0.1906
47 70 58 0 0 0.0931
48 70 59 0 0 0.2112
49 70 60 0 0 0.17
50 70 61 0 0 0.1132
51 70 62 0.063 0 0.3029
52 70 63 0 0 0.2013
53 70 64 0.0777 0 0.3869
54 70 65 0 0 0.2365
55 70 67 0 0 0.0618
56 70 68 0.0681 0 0.3059
57 70 69 0.0921 0 0.346
58 70 192 0.0683 0 0.3207
59 70 193 0.0832 0 0.3856
60 70 194 0.0226 0 0.1911
61 70 195 0.0317 0 0.2953
62 70 196 0 0 0.2104
63 70 198 0.0238 0 0.2575
64 70 206 0.0107 0 0.1302
65 70 207 0 0 0.1686
66 70 208 0.1648 0 0.5781
67 70 224 0 0 0.1039
68 70 225 0 0 0.0808
69 70 226 0.0695 0 0.3175
70 70 227 0 0 0.1371
71 70 228 0 0 0.2019
72 70 229 0.009 0 0.1956
73 70 230 0 0 0.2076
74 70 231 0 0 0.2298
75 70 232 0.1013 0.001 0.4386
76 70 233 0.0936 0 0.4669
77 70 234 0.0781 0 0.3763
78 70 235 0 0 0.1874
79 70 236 0.1492 0.0122 0.5651
80 70 237 0.0195 0 0.2123
81 70 239 0.0954 0.0439 0.3896
82 70 240 0.071 0 0.3741
83 70 176 0.068 0 0.4077
84 70 178 0 0 0.1613
85 70 180 0 0 0.1774
86 70 181 0.086 0 0.3227
87 70 182 0.0056 0 0.1402
88 70 183 0.1041 0 0.3762
89 70 184 0.0487 0 0.4567
90 70 187 0.097 0 0.3443
91 70 188 0.0554 0 0.4251
92 70 199 0.055 0 0.3107
93 70 200 0 0 0.1278
94 70 201 0.2717 0 0.627
95 70 202 0.1217 0 0.3657
96 70 203 0.0455 0 0.3544
97 70 204 0 0 0.1393
98 70 205 0.1405 0 0.518
99 70 210 0 0 0.0311
100 70 211 0.0141 0 0.2475
101 70 212 0.077 0 0.3212
102 70 213 0.3593 0.0863 0.7865
103 70 214 0 0 0.069
104 70 215 0 0 0.3305
105 70 217 0 0 0.2734
106 70 218 0.2301 0.0456 0.4597
107 70 219 0.1487 0.0281 0.5063
108 70 220 0 0 0
109 70 221 0 0 0.0782
110 70 222 0 0 0.1653
111 70 223 0.0886 0.0109 0.3709
112 70 241 0 0 0.1748
113 70 242 0.031 0 0.3252
114 70 245 0 0 0.2213
115 70 246 0 0 0.2146
116 70 247 0.1474 0.0185 0.4395
117 70 249 0.1677 0.0342 0.4488
118 70 251 0.2359 0.0908 0.6037
119 70 252 0.0418 0 0.207
120 70 253 0.0018 0 0.1398
121 70 255 0.062 0.0016 0.3197
122 70 257 0.0199 0 0.3969
123 70 258 0 0 0.1961
124 70 259 0.0588 0 0.2532
125 70 260 0.0286 0 0.2155
126 70 261 0 0 0
127 70 262 0.0949 0 0.391
128 70 263 0.0723 0 0.3981
129 70 264 0.0523 0 0.3965
130 70 265 0.0192 0 0.269
131 70 266 0 0 0.1854
132 70 267 0 0 0.0574
133 70 268 0 0 0.1461
134 70 277 0 0 0.1917
135 70 332 0 0 0.1931
136 70 278 0.1001 0 0.392
137 70 279 0 0 0.1237
138 70 280 0.0618 0 0.241
139 70 281 0 0 0.1684
140 70 282 0.0128 0 0.3695
141 70 283 0.1072 0 0.453
142 70 284 0.0735 0.0014 0.3524
143 70 285 0.0131 0 0.2736
144 70 286 0 0 0.1053
145 70 289 0.032 0 0.2314
146 70 290 0.0554 0 0.304
147 70 291 0.069 0 0.3064
148 70 292 0.0194 0 0.2871
149 70 293 0.1002 0 0.4045
150 70 294 0.0554 0 0.2379
151 70 296 0.0952 0 0.4063
152 70 297 0.109 0 0.4336
153 70 298 0.03 0 0.2
154 70 302 0 0 0.1632
155 70 303 0.0116 0 0.2669
156 70 304 0 0 0.1214
157 70 305 0 0 0
158 70 306 0.0307 0 0.3414
159 70 307 1e-4 0 0.1736
160 70 308 0 0 0.1622
161 70 310 0 0 0.0708
162 70 311 0 0 0.0756
163 70 313 0.0234 0 0.2975
164 70 314 0.2201 0.0464 0.4951
165 70 315 0.0631 0 0.3709
166 70 316 0.0064 0 0.2418
167 70 317 0.0525 0 0.2258
168 70 318 0 0 0.1055
169 70 319 0 0 0.2801
170 70 320 0.0496 0 0.1954
171 70 321 0.154 0 0.4485
172 70 322 0.0366 0 0.2184
173 70 323 0 0 0.1452
174 70 243 0.0956 0 0.3258
175 70 250 0.0373 0 0.2602
176 70 254 0.2023 0.0951 0.5288
177 70 256 0.0373 0 0.2281
178 70 287 0 0 0.1049
179 70 288 0.103 0 0.3506
180 70 295 0.0365 0 0.194
181 70 299 0.0799 0.0086 0.4488
182 70 300 0.0097 0 0.1123
183 70 301 0.186 0.1095 0.5429
184 70 309 0 0 0.2196
185 70 312 0.0333 0 0.2158
186 70 269 0.0819 0.0077 0.3188
187 70 270 0.0014 0 0.1731
188 70 271 0 0 0.1608
189 70 272 0.0727 0 0.3193
190 70 273 0.0594 0 0.2839
191 70 274 0.0352 0 0.2149
192 70 275 0.0738 0 0.4416
193 70 276 0.2169 0.0849 0.553
194 70 324 0.0712 0 0.3652
195 70 325 0.1388 0.0313 0.3719
196 70 326 0.1324 0 0.5583
197 70 327 0.052 0 0.3301
198 70 328 0 0 0.2167
199 70 329 0.0154 0 0.3004
200 70 330 0.0953 0 0.3884
201 70 331 0 0 0.0838
202 70 7 0 0 0
203 70 9 0 0 0.3206
204 70 10 0.0253 0 0.2769
205 70 11 0.0215 0 0.3141
206 70 12 0.1505 0 0.5581
207 70 13 0.1775 0.0304 0.5407
208 70 14 0 0 0.022
209 70 15 0.009 0 0.1489
210 70 16 0 0 0.1609
211 70 17 0 0 0
212 70 18 0.2404 0 0.5803
213 70 20 0 0 0.1014
214 70 21 0 0 0.1395
215 70 22 0.0278 0 0.3011
216 70 23 0.1235 0 0.3632
217 70 25 0.1228 0 0.474
218 70 26 0.046 0 0.2615
219 70 27 0.0714 0 0.4987
220 70 28 0.0776 0 0.3324
221 70 31 0 0 0.2165
222 70 33 0 0 0.1853
223 70 34 0.1287 0 0.4758
224 70 35 0.1903 0.0203 0.4942
225 70 36 0.0118 0 0.2096
226 70 37 0.0174 0 0.282
227 70 38 0.0373 0 0.3023
228 70 102 0.0738 0 0.4338
229 70 105 0.08 0 0.49
230 70 106 0 0 0.1285
231 70 107 0 0 0.1683
232 70 108 0.1228 0 0.4585
233 70 110 0.0317 0 0.3333
234 70 111 0.0115 0 0.1921
235 70 112 0.068 0 0.2114
236 70 124 0.0354 0 0.2478
237 70 125 0.0622 0 0.3854
238 70 127 0.0642 0 0.21
239 70 129 0.0077 0 0.203
240 70 130 0.0341 0 0.3058
241 70 131 0 0 0
242 70 132 0.0708 0 0.3453
243 70 134 0.0894 0 0.4621
244 70 135 0 0 0.0823
245 70 136 0.0251 0 0.2247
246 70 137 0.0196 0 0.3239
247 70 140 0 0 0.1695
248 70 143 0 0 0.1346
249 70 145 0 0 0.1671
250 70 146 0.0863 0 0.352
251 70 147 0.2164 0.0049 0.528
252 70 152 0.0502 0 0.3279
253 70 155 0 0 0.2705
254 70 156 0.0133 0 0.2174
255 70 157 0 0 0.1657
256 70 164 0.0669 0 0.3342
257 70 165 0.1134 0 0.4294
258 70 166 0 0 0.1718
259 70 167 0.0633 0 0.3006
260 70 168 0 0 0.2643
261 70 S1 0.1453 0 0.5047
262 70 S25 0.2274 0.0382 0.7302
263 70 S27 0.2178 0.0793 0.6338
264 70 S28 0.013 0 0.2174
265 70 S29 0.2041 0.0442 0.7212
266 70 S30 0 0 0.1769
267 70 S31 0 0 0.2864
268 70 S36 0.0601 0 0.2914
269 70 S40 0 0 0.1386
270 70 S41 0 0 0.2792
271 70 S42 0 0 0.166
272 70 S47 0 0 0.1481
273 70 S51 0.1206 0 0.4854
274 70 S53 0.016 0 0.2634
275 70 S55 0.0053 0 0.1947
276 70 S60 0 0 0.2007
277 70 S64 0 0 0.2798
278 70 S66 0.0484 0 0.4144
279 70 S76 0 0 0.2286
280 70 103 0 0 0.1851
281 70 104 0.0166 0 0.2609
282 70 114 0.2187 0 0.5532
283 70 115 0.1181 0 0.3251
284 70 116 0 0 0.0787
285 70 118 0.04 0 0.1635
286 70 119 0 0 0.2953
287 70 120 0.0478 0 0.3026
288 70 121 0 0 0.1619
289 70 148 0.0595 0 0.5016
290 70 149 0 0 0.2064
291 70 151 0.0503 0 0.2855
292 70 153 0.0461 0 0.2416
293 70 154 0.0922 0 0.5655
294 70 162 0.0528 0 0.2996
295 70 163 0.0532 0 0.3601
296 70 169 0.0826 0 0.35
297 70 170 0.0768 0 0.4626
298 70 171 0 0 0.2471
299 70 172 0 0 0.1473
300 70 S100 0.1902 0 0.4813
301 70 S101 0.031 0 0.2965
302 70 S11 0.0289 0 0.4029
303 70 S12 0.0556 0 0.3278
304 70 S13 0.0133 0 0.1949
305 70 S14 0.0079 0 0.1844
306 70 S15 0 0 0.084
307 70 S19 0 0 0.261
308 70 S20 0.2145 0.0742 0.5515
309 70 S21 0.0543 0 0.3205
310 70 S22 0 0 0.1448
311 70 S26 0 0 0.1946
312 70 S38 0.0777 0 0.4494
313 70 S4 0.0065 0 0.1926
314 70 S44 0.1066 0 0.4349
315 70 S45 0 0 0
316 70 S46 0.12 0 0.3364
317 70 S52 0.0574 0 0.3708
318 70 S58 0.0646 0 0.3411
319 70 S6 0 0 0.1264
320 70 S61 0.0039 0 0.2873
321 70 S62 0 0 0.1565
322 70 S67 0.1289 0 0.6085
323 70 S68 0 0 0.1333
324 70 S69 0 0 0.0682
325 70 S75 0 0 0
326 70 S79 0 0 0.3425
327 70 S80 0.0882 0 0.5349
328 70 S82 0 0 0.0942
329 70 S83 0.0369 0 0.4297
330 70 S85 0 0 0.0984
331 70 S90 0.1857 0.0169 0.5322
332 70 S93 0.028 0 0.3293
333 70 S95 0.0669 0 0.3301
334 70 S97 0.0939 0.0255 0.3393
335 71 72 0.0921 0 0.3848
336 71 73 0.0483 0 0.2368
337 71 74 0 0 0.2549
338 71 75 0 0 0.21
339 71 76 0 0 0.0353
340 71 77 0 0 0.1054
341 71 78 0 0 0.1898
342 71 79 0.0312 0 0.1874
343 71 80 0.06 0 0.2896
344 71 81 0 0 0.1034
345 71 82 0.0525 0 0.3312
346 71 84 0 0 0
347 71 85 0.0435 0 0.2095
348 71 86 0.028 0 0.2058
349 71 87 0.0492 0 0.222
350 71 88 0.0799 0 0.4097
351 71 89 0 0 0.1306
352 71 90 0.0268 0 0.186
353 71 91 0.0572 0 0.2894
354 71 92 0.0527 0 0.2377
355 71 93 0 0 0.0874
356 71 94 0 0 0.1606
357 71 95 0.0023 0 0.1943
358 71 96 0 0 0.1546
359 71 97 0.1091 0 0.4512
360 71 98 0 0 0.1248
361 71 99 0.0422 0 0.3603
362 71 100 0.0582 0 0.3442
363 71 101 0.048 0 0.1715
364 71 39 0 0 0.0859
365 71 40 0 0 0.4399
366 71 43 0.0813 0 0.494
367 71 44 0.1091 0 0.4284
368 71 45 0 0 0.1525
369 71 46 0.0438 0 0.2169
370 71 47 0.0483 0 0.2531
371 71 48 0.0326 0 0.223
372 71 49 0.0161 0 0.2
373 71 51 0 0 0.1538
374 71 52 0.0422 0 0.3366
375 71 53 0.0257 0 0.1856
376 71 54 0 0 0.0956
377 71 55 0.0251 0 0.3184
378 71 56 0.0318 0 0.2345
379 71 57 0.1268 0.0309 0.5493
380 71 58 0 0 0.1972
381 71 59 0.2336 0.0436 0.5548
382 71 60 0.0548 0 0.2931
383 71 61 0 0 0.1575
384 71 62 0 0 0.1856
385 71 63 0.1243 0.023 0.4233
386 71 64 0.0197 0 0.282
387 71 65 0.044 0 0.4358
388 71 67 0.1701 0.028 0.4218
389 71 68 0.0154 0 0.1662
390 71 69 0 0 0.2573
391 71 192 0.1622 0 0.436
392 71 193 0.047 0 0.3754
393 71 194 0.0532 0 0.4191
394 71 195 0.0327 0 0.3268
395 71 196 0.0457 0 0.2403
396 71 198 0.0316 0 0.3433
397 71 206 0.0173 0 0.1575
398 71 207 0.0693 0 0.314
399 71 208 0 0 0.1364
400 71 224 0.0647 0 0.2307
401 71 225 0.0536 0 0.1918
402 71 226 0 0 0.1418
403 71 227 0.0241 0 0.1759
404 71 228 0.0356 0 0.2512
405 71 229 0 0 0.2035
406 71 230 0.0263 0 0.1839
407 71 231 0.1192 0 0.4283
408 71 232 0.0381 0 0.2135
409 71 233 0 0 0.08
410 71 234 0.0222 0 0.2389
411 71 235 0 0 0.1984
412 71 236 0 0 0.111
413 71 237 0.0198 0 0.2052
414 71 239 0.0946 0 0.3879
415 71 240 0 0 0.165
416 71 176 0.1275 0 0.4802
417 71 178 0.0773 0 0.2371
418 71 180 0 0 0.143
419 71 181 0 0 0.2629
420 71 182 0.0931 0 0.3603
421 71 183 0.0321 0 0.2488
422 71 184 0.0761 0 0.2811
423 71 187 0.1285 0 0.4113
424 71 188 0 0 0.0683
425 71 199 0.0314 0 0.1695
426 71 200 0 0 0.0625
427 71 201 0 0 0.3584
428 71 202 0 0 0.016
429 71 203 0.0361 0 0.3276
430 71 204 0 0 0.1023
431 71 205 0.1359 0.041 0.3661
432 71 210 0 0 0.1522
433 71 211 0 0 0.1713
434 71 212 0.102 0.0179 0.3121
435 71 213 0 0 0.0725
436 71 214 0 0 0.0131
437 71 215 0.0383 0 0.3437
438 71 217 0.0795 0 0.4605
439 71 218 0.019 0 0.1503
440 71 219 0.049 0 0.3126
441 71 220 0.0215 0 0.1994
442 71 221 0.0424 0 0.3117
443 71 222 0 0 0.2506
444 71 223 0.0638 0 0.2572
445 71 241 0.0205 0 0.1156
446 71 242 0.0484 0 0.2848
447 71 245 0.0289 0 0.2702
448 71 246 0.0386 0 0.337
449 71 247 0 0 0.1112
450 71 249 0 0 0
451 71 251 0 0 0.0994
452 71 252 0 0 0.0592
453 71 253 0.0943 0 0.4172
454 71 255 0.0598 0 0.2245
455 71 257 0.0573 0 0.2302
456 71 258 0.0531 0 0.4218
457 71 259 0 0 0.1782
458 71 260 0.0605 0 0.4098
459 71 261 0.0705 0 0.2892
460 71 262 0.0248 0 0.3261
461 71 263 0 0 0.1107
462 71 264 0.0814 0 0.4182
463 71 265 0 0 0.1452
464 71 266 0.0835 0 0.3869
465 71 267 0.0648 0 0.2954
466 71 268 0 0 0
467 71 277 0.0268 0 0.2809
468 71 332 0.0588 0 0.3136
469 71 278 0 0 0.1213
470 71 279 0.0693 0 0.4391
471 71 280 0 0 0.0716
472 71 281 0.0265 0 0.1948
473 71 282 0 0 0.1439
474 71 283 0 0 0.2407
475 71 284 0.0444 0 0.2781
476 71 285 0 0 0.126
477 71 286 0.0975 0 0.3305
478 71 289 0 0 0.059
479 71 290 0 0 0.1393
480 71 291 0 0 0.0721
481 71 292 0.1419 0 0.5579
482 71 293 0 0 0
483 71 294 0 0 0.0624
484 71 296 0.0596 0 0.3595
485 71 297 0 0 0.1333
486 71 298 0.0464 0 0.3215
487 71 302 0 0 0.2232
488 71 303 0 0 0.0897
489 71 304 0.0339 0 0.2159
490 71 305 0.0512 0 0.276
491 71 306 0 0 0.1978
492 71 307 0.0114 0 0.1823
493 71 308 0.0031 0 0.1839
494 71 310 0.0185 0 0.2224
495 71 311 0.0641 0 0.406
496 71 313 0 0 0
497 71 314 0 0 0.0688
498 71 315 0 0 0.3171
499 71 316 0 0 0.0607
500 71 317 0.0227 0 0.1806
501 71 318 0.0586 0 0.3746
502 71 319 0 0 0.018
503 71 320 0 0 0.181
504 71 321 0.0494 0 0.276
505 71 322 0 0 0.2112
506 71 323 0.1073 0 0.4721
507 71 243 0 0 0.0874
508 71 250 0.0602 0 0.2124
509 71 254 0.0269 0 0.125
510 71 256 0 0 0.1076
511 71 287 0.1132 0 0.3624
512 71 288 0 0 0.1286
513 71 295 0.0138 0 0.1876
514 71 299 0 0 0.1547
515 71 300 0 0 0.1034
516 71 301 0.036 0 0.2602
517 71 309 0 0 0.1557
518 71 312 0 0 0.2063
519 71 269 0.023 0 0.2121
520 71 270 0.0734 0 0.3111
521 71 271 0.0285 0 0.202
522 71 272 0 0 0
523 71 273 0.0543 0 0.2399
524 71 274 0 0 0
525 71 275 0 0 0.062
526 71 276 0.0551 0 0.2843
527 71 324 0 0 0.0878
528 71 325 0.0493 0 0.2507
529 71 326 0.0595 0 0.2096
530 71 327 0 0 0
531 71 328 0.0904 0 0.5032
532 71 329 0.065 0 0.3155
533 71 330 0.0296 0 0.1887
534 71 331 0.0187 0 0.2249
535 71 7 0.1913 0.0301 0.4366
536 71 9 0 0 0.0242
537 71 10 0.0338 0 0.1921
538 71 11 0.0671 0 0.3449
539 71 12 0.0027 0 0.1039
540 71 13 0.0748 0 0.2779
541 71 14 0.0672 0 0.3279
542 71 15 0.0778 0 0.4415
543 71 16 0.0835 0 0.504
544 71 17 0.1529 0 0.503
545 71 18 0.0849 0 0.2963
546 71 20 0 0 0.1849
547 71 21 0 0 0.1512
548 71 22 0.1407 0.0303 0.4895
549 71 23 0 0 0.0649
550 71 25 0 0 0.1126
551 71 26 0 0 0.1762
552 71 27 0 0 0
553 71 28 0 0 0.0398
554 71 31 0.0816 0.0376 0.3753
555 71 33 0.1582 0.0015 0.5532
556 71 34 0.0524 0 0.4099
557 71 35 0.0246 0 0.1764
558 71 36 0 0 0
559 71 37 0 0 0.0533
560 71 38 0 0 0.1452
561 71 102 0.0574 0 0.2406
562 71 105 0.0187 0 0.1948
563 71 106 0.0024 0 0.1542
564 71 107 0 0 0.203
565 71 108 0.0786 0 0.5535
566 71 110 0.0336 0 0.3092
567 71 111 0 0 0.1199
568 71 112 0 0 0.1911
569 71 124 0.1227 0 0.4899
570 71 125 0 0 0.2604
571 71 127 0.0264 0 0.2549
572 71 129 0.0213 0 0.2914
573 71 130 0 0 0
574 71 131 0.1081 0.0091 0.4102
575 71 132 0.0916 0 0.338
576 71 134 0.0282 0 0.2875
577 71 135 0 0 0.095
578 71 136 0.08 0 0.363
579 71 137 0.055 0 0.1718
