Ind,Pop,J42.1,J42.2,WF22.1,WF22.2,PAM27.1,PAM27.2,PAM79.1,PAM79.2,WF27.1,WF27.2,WF16.1,WF16.2,WF33.1,WF33.2,WF3.1,WF3.2,WF517.1,WF517.2,WF196.1,WF196.2,WF223.1,WF223.2,WF421.1,WF421.2
7,Atl_Nap_6_2016,131,133,179,215,160,210,164,170,333,345,236,238,340,352,168,168,261,267,243,251,255,267,276,288
8,Atl_Nap_6_2016,119,131,239,259,166,166,0,0,277,365,0,0,0,0,166,168,279,291,183,215,273,281,288,312
9,Atl_Nap_6_2016,117,119,191,255,174,178,176,182,265,321,226,238,272,328,168,168,0,0,0,0,277,281,236,268
10,Atl_Nap_6_2016,117,121,183,247,160,176,178,216,269,289,238,258,276,296,0,168,261,287,171,191,263,263,236,292
11,Atl_Nap_6_2016,117,117,175,211,160,174,176,186,245,261,236,262,252,268,168,176,247,263,171,207,275,279,288,300
12,Atl_Nap_6_2016,109,111,191,259,176,184,170,190,309,313,238,254,316,320,170,174,257,291,159,195,273,289,288,320
13,Atl_Nap_6_2016,121,127,231,231,174,182,168,206,269,341,236,238,276,348,170,170,283,295,183,195,245,247,252,300
14,Atl_Nap_6_2016,117,125,195,247,178,212,188,210,305,309,244,258,312,316,168,178,279,307,159,215,233,275,0,0
15,Atl_Nap_6_2016,117,121,211,219,160,160,182,210,269,341,236,236,288,348,162,170,263,283,183,255,265,281,268,292
16,Atl_Nap_6_2016,117,131,187,243,178,178,178,184,265,313,236,236,272,320,166,174,277,287,167,187,275,285,276,296
17,Atl_Nap_6_2016,117,125,223,235,176,180,184,206,289,333,238,240,296,340,156,168,219,279,187,191,0,269,272,288
18,Atl_Nap_6_2016,115,117,195,243,174,174,168,182,245,341,240,258,252,348,168,178,279,307,159,215,233,275,276,288
19,Atl_Nap_6_2016,119,125,235,239,160,180,178,188,257,269,238,260,0,0,0,170,219,247,187,187,267,275,280,292
20,Atl_Nap_6_2016,117,131,215,235,176,188,166,198,317,317,236,240,324,324,168,176,255,303,183,215,253,257,284,336
21,Atl_Nap_6_2016,111,123,179,227,176,178,186,188,309,337,236,238,316,352,168,174,263,275,183,195,261,267,284,296
22,Atl_Nap_6_2016,117,121,207,259,166,174,142,220,265,309,234,238,272,316,156,168,243,279,167,167,261,281,0,0
23,Atl_Nap_6_2016,117,127,179,239,0,0,158,214,297,313,238,260,320,320,168,170,287,291,195,251,261,271,280,296
24,Atl_Nap_6_2016,119,139,255,275,0,0,178,198,333,357,236,236,272,316,168,174,0,0,0,0,257,271,276,292
25,Atl_Nap_6_2016,109,117,227,235,166,182,158,194,305,321,230,234,312,328,168,172,243,275,167,187,277,289,280,308
26,Atl_Nap_6_2016,117,131,187,267,180,180,180,182,265,313,236,238,272,320,162,170,251,267,155,187,237,269,292,304
27,Atl_Nap_6_2016,121,133,227,247,174,174,176,186,265,273,260,286,280,280,168,176,247,287,195,195,271,279,268,284
28,Atl_Nap_6_2016,115,119,183,251,174,180,156,208,317,337,238,250,324,344,0,162,243,283,167,195,257,269,292,316
30,Atl_Nap_6_2016,127,143,179,223,160,160,0,0,269,269,238,260,276,0,168,172,247,261,179,191,275,0,280,292
31,Atl_Nap_6_2016,117,119,207,291,160,180,156,204,297,309,238,240,304,316,0,168,247,283,187,191,255,271,232,276
32,Atl_Nap_6_2016,117,117,223,259,0,0,182,188,301,301,240,260,0,308,158,162,259,275,203,219,241,263,284,356
33,Atl_Nap_6_2016,117,137,163,279,178,184,182,192,309,317,236,236,316,324,168,168,0,0,0,0,257,261,280,288
34,Atl_Nap_6_2016,117,125,163,179,160,160,148,194,289,297,236,236,296,302,162,174,283,291,191,219,259,285,292,300
35,Atl_Nap_6_2016,133,135,191,263,174,180,154,168,245,301,250,260,248,308,166,176,261,291,167,215,275,275,292,300
36,Atl_Nap_6_2016,119,139,159,231,174,178,184,224,273,353,238,240,280,360,168,168,287,291,163,187,257,269,268,316
37,Atl_Nap_6_2016,109,127,211,231,172,176,178,206,261,325,228,238,268,332,168,192,271,283,167,195,261,261,292,300
38,Atl_Nap_6_2016,133,137,227,235,174,212,178,190,273,317,236,250,280,324,168,174,255,267,167,195,281,285,292,296
39,Atl_Mor_6_2016,119,121,199,211,174,174,182,188,289,345,236,238,296,352,156,168,271,283,159,191,251,277,280,292
40,Atl_Mor_6_2016,117,125,183,283,160,174,148,200,301,305,236,250,308,312,168,168,275,275,187,187,265,0,0,0
41,Atl_Mor_6_2016,109,143,0,0,160,174,0,0,309,357,238,256,0,0,172,174,267,275,191,243,241,263,0,0
43,Atl_Mor_6_2016,117,119,207,287,0,0,180,182,261,261,236,236,256,268,166,168,263,271,175,215,259,275,268,292
44,Atl_Mor_6_2016,117,117,175,243,178,178,180,182,305,333,230,240,312,340,168,172,215,271,155,243,265,289,268,280
45,Atl_Mor_6_2016,117,129,223,239,160,160,180,184,261,333,234,238,268,340,168,168,247,247,175,195,255,275,0,0
46,Atl_Mor_6_2016,117,131,183,199,174,174,166,168,297,325,240,264,300,332,172,174,281,307,167,211,245,285,292,300
47,Atl_Mor_6_2016,121,125,187,251,162,174,170,212,313,337,238,242,320,344,168,168,0,0,183,231,265,269,284,300
48,Atl_Mor_6_2016,111,117,303,307,160,180,166,182,245,313,238,240,252,320,166,168,283,283,167,183,269,275,280,304
49,Atl_Mor_6_2016,143,157,231,259,160,182,158,180,309,373,238,238,316,380,166,168,271,275,171,187,275,0,280,296
50,Atl_Mor_6_2016,117,117,239,243,160,174,184,202,313,321,236,286,320,328,168,172,259,291,187,211,0,0,0,0
