clust,prob,Ind,father,mother,Bay,run
1,0.7827,70,*1,#1,Jam,17clust
2,1,71,*2,#2,Jam,17clust
3,0.4004,72,*3,#3,Jam,17clust
3,0.4004,77,*8,#6,Jam,17clust
3,0.4004,92,*3,#6,Jam,17clust
4,0.9682,73,*4,#4,Jam,17clust
4,0.9682,76,*7,#4,Jam,17clust
5,0.2753,74,*5,#5,Jam,17clust
5,0.2753,75,*6,#5,Jam,17clust
6,0.9626,78,*9,#7,Jam,17clust
7,0.3663,79,*10,#8,Jam,17clust
7,0.3663,80,*11,#9,Jam,17clust
7,0.3663,89,*20,#8,Jam,17clust
7,0.3663,90,*10,#9,Jam,17clust
7,0.3663,93,*11,#18,Jam,17clust
7,0.3663,96,*24,#8,Jam,17clust
8,0.9393,81,*12,#10,Jam,17clust
9,0.9787,82,*13,#11,Jam,17clust
10,0.7717,83,*14,#12,Jam,17clust
11,0.9952,84,*15,#13,Jam,17clust
12,0.9581,85,*16,#14,Jam,17clust
13,0.8406,86,*17,#15,Jam,17clust
13,0.8406,87,*18,#15,Jam,17clust
13,0.8406,97,*17,#21,Jam,17clust
14,0.9988,88,*19,#16,Jam,17clust
15,0.9956,91,*21,#17,Jam,17clust
16,0.9314,94,*22,#19,Jam,17clust
17,0.9481,95,*23,#20,Jam,17clust
18,0.9188,98,*25,#22,Jam,17clust
19,0.6148,99,*26,#23,Jam,17clust
20,0.4826,100,*27,#24,Jam,17clust
20,0.4826,101,*27,#25,Jam,17clust
1,0.1377,70,*1,#1,Jam,HWEclust
1,0.1377,73,*4,#4,Jam,HWEclust
1,0.1377,76,*4,#1,Jam,HWEclust
1,0.1377,80,*10,#4,Jam,HWEclust
1,0.1377,93,*19,#4,Jam,HWEclust
2,0.1459,71,*2,#2,Jam,HWEclust
2,0.1459,79,*9,#8,Jam,HWEclust
2,0.1459,90,*9,#2,Jam,HWEclust
2,0.1459,94,*20,#19,Jam,HWEclust
2,0.1459,95,*21,#19,Jam,HWEclust
2,0.1459,96,*20,#8,Jam,HWEclust
3,0.2175,72,*3,#3,Jam,HWEclust
3,0.2175,86,*15,#14,Jam,HWEclust
