clust,prob,Ind,father,mother,Bay,run
1,0.3274,192,*1,#1,Mt,17_0.1
1,0.3274,231,*17,#1,Mt,17_0.1
1,0.3274,176,*1,#20,Mt,17_0.1
2,0.0498,193,*2,#2,Mt,17_0.1
2,0.0498,196,*5,#4,Mt,17_0.1
2,0.0498,225,*2,#10,Mt,17_0.1
2,0.0498,226,*12,#11,Mt,17_0.1
2,0.0498,234,*19,#16,Mt,17_0.1
2,0.0498,240,*19,#2,Mt,17_0.1
2,0.0498,181,*25,#16,Mt,17_0.1
2,0.0498,203,*25,#31,Mt,17_0.1
2,0.0498,217,*19,#4,Mt,17_0.1
2,0.0498,219,*12,#4,Mt,17_0.1
3,0.9529,194,*3,307,Mt,17_0.1
4,0.544,195,*4,#3,Mt,17_0.1
4,0.544,204,*4,#32,Mt,17_0.1
4,0.544,222,*40,#32,Mt,17_0.1
5,1,198,*6,#5,Mt,17_0.1
5,1,208,*9,#8,Mt,17_0.1
5,1,209,*10,#8,Mt,17_0.1
5,1,233,*9,#8,Mt,17_0.1
5,1,235,*6,#17,Mt,17_0.1
5,1,236,*20,#17,Mt,17_0.1
5,1,213,*10,#5,Mt,17_0.1
6,0.8456,206,*7,#6,Mt,17_0.1
7,0.9964,207,*8,#7,Mt,17_0.1
8,0.5822,224,*11,#9,Mt,17_0.1
8,0.5822,232,*18,#9,Mt,17_0.1
8,0.5822,239,*18,#19,Mt,17_0.1
9,0.8953,227,*13,#12,Mt,17_0.1
10,0.9531,228,*14,#13,Mt,17_0.1
11,0.1553,229,*15,#14,Mt,17_0.1
11,0.1553,230,*16,#15,Mt,17_0.1
11,0.1553,179,*23,#14,Mt,17_0.1
11,0.1553,184,*15,#15,Mt,17_0.1
11,0.1553,187,*29,#26,Mt,17_0.1
11,0.1553,201,*23,#30,Mt,17_0.1
11,0.1553,211,*15,#35,Mt,17_0.1
11,0.1553,215,*23,#37,Mt,17_0.1
11,0.1553,216,*29,#14,Mt,17_0.1
12,1,237,*21,#18,Mt,17_0.1
13,0.7684,178,*22,#21,Mt,17_0.1
14,0.9911,180,*24,#22,Mt,17_0.1
15,0.9964,182,*26,#23,Mt,17_0.1
16,1,183,*27,#24,Mt,17_0.1
17,0.7448,185,*28,#25,Mt,17_0.1
17,0.7448,202,*33,#25,Mt,17_0.1
18,0.5357,188,*30,#27,Mt,17_0.1
18,0.5357,210,*30,#34,Mt,17_0.1
18,0.5357,212,*35,#27,Mt,17_0.1
18,0.5357,220,*38,#34,Mt,17_0.1
19,0.4452,199,*31,#28,Mt,17_0.1
20,0.5487,200,*32,#29,Mt,17_0.1
21,0.9792,205,*34,#33,Mt,17_0.1
22,0.8202,214,*36,#36,Mt,17_0.1
23,0.9996,218,*37,#38,Mt,17_0.1
24,0.4519,221,*39,#39,Mt,17_0.1
25,1,223,*41,#40,Mt,17_0.1
