ind1,ind2,prob,Bay,run
70,83,0.002,Jam,17clust
70,89,0.001,Jam,17clust
70,90,0.065,Jam,17clust
70,99,0.096,Jam,17clust
72,92,0.947,Jam,17clust
73,76,0.893,Jam,17clust
73,80,0.009,Jam,17clust
73,93,0.004,Jam,17clust
73,95,0.001,Jam,17clust
73,98,0.014,Jam,17clust
74,75,0.222,Jam,17clust
74,88,0.001,Jam,17clust
74,98,0.022,Jam,17clust
75,78,0.014,Jam,17clust
75,79,0.013,Jam,17clust
75,96,0.015,Jam,17clust
75,100,0.025,Jam,17clust
76,83,0.001,Jam,17clust
77,78,0.012,Jam,17clust
77,91,0.004,Jam,17clust
77,92,0.618,Jam,17clust
78,85,0.013,Jam,17clust
79,89,0.445,Jam,17clust
79,90,0.164,Jam,17clust
79,96,0.593,Jam,17clust
80,90,0.719,Jam,17clust
80,93,0.403,Jam,17clust
80,94,0.002,Jam,17clust
80,98,0.001,Jam,17clust
81,95,0.051,Jam,17clust
81,98,0.009,Jam,17clust
82,83,0.02,Jam,17clust
83,98,0.002,Jam,17clust
83,99,0.133,Jam,17clust
84,85,0.004,Jam,17clust
85,89,0.002,Jam,17clust
85,98,0.017,Jam,17clust
85,99,0.006,Jam,17clust
86,87,0.671,Jam,17clust
86,96,0.002,Jam,17clust
86,97,0.816,Jam,17clust
87,98,0.001,Jam,17clust
89,96,0.469,Jam,17clust
89,99,0.025,Jam,17clust
90,94,0.036,Jam,17clust
94,96,0.016,Jam,17clust
94,98,0.015,Jam,17clust
94,101,0.004,Jam,17clust
100,101,0.236,Jam,17clust
70,76,0.858,Jam,HWE
70,90,0.003,Jam,HWE
71,90,0.079,Jam,HWE
72,79,0.002,Jam,HWE
72,91,0.301,Jam,HWE
72,92,0.897,Jam,HWE
72,97,0.28,Jam,HWE
73,76,0.139,Jam,HWE
73,80,0.184,Jam,HWE
73,93,0.027,Jam,HWE
74,75,0.83,Jam,HWE
75,82,0.811,Jam,HWE
76,93,0.025,Jam,HWE
77,78,0.004,Jam,HWE
77,91,0.081,Jam,HWE
78,85,0.071,Jam,HWE
78,96,0.048,Jam,HWE
78,98,0.017,Jam,HWE
78,99,0.003,Jam,HWE
79,81,0.001,Jam,HWE
79,86,0.141,Jam,HWE
79,90,0.209,Jam,HWE
79,95,0.018,Jam,HWE
79,96,0.337,Jam,HWE
79,97,0.148,Jam,HWE
80,88,0.112,Jam,HWE
80,90,0.046,Jam,HWE
80,93,0.376,Jam,HWE
81,87,0.001,Jam,HWE
83,86,0.125,Jam,HWE
83,98,0.737,Jam,HWE
83,99,0.212,Jam,HWE
84,85,0.008,Jam,HWE
84,86,0.097,Jam,HWE
84,97,0.074,Jam,HWE
85,98,0.017,Jam,HWE
86,87,0.658,Jam,HWE
86,96,0.087,Jam,HWE
86,97,0.915,Jam,HWE
86,99,0.11,Jam,HWE
91,92,0.752,Jam,HWE
94,95,0.383,Jam,HWE
94,96,0.698,Jam,HWE
96,97,0.001,Jam,HWE
96,98,0.064,Jam,HWE
96,99,0.057,Jam,HWE
192,209,0.162,Mt,HWE
192,176,0.807,Mt,HWE
192,199,0.002,Mt,HWE
193,240,0.078,Mt,HWE
193,180,0.111,Mt,HWE
193,201,0.079,Mt,HWE
193,205,0.078,Mt,HWE
193,217,0.628,Mt,HWE
194,227,0.895,Mt,HWE
195,225,0.71,Mt,HWE
195,236,0.003,Mt,HWE
195,237,0.015,Mt,HWE
195,204,0.284,Mt,HWE
196,230,0.321,Mt,HWE
196,239,0.27,Mt,HWE
196,180,0.002,Mt,HWE
196,181,0.411,Mt,HWE
196,185,0.014,Mt,HWE
196,211,0.152,Mt,HWE
196,214,0.201,Mt,HWE
196,217,0.651,Mt,HWE
196,221,0.624,Mt,HWE
198,226,0.802,Mt,HWE
198,235,0.671,Mt,HWE
198,239,0.002,Mt,HWE
198,183,0.03,Mt,HWE
198,210,0.091,Mt,HWE
206,228,0.13,Mt,HWE
206,220,0.115,Mt,HWE
207,178,0.055,Mt,HWE
207,185,0.055,Mt,HWE
207,204,0.001,Mt,HWE
208,236,0.002,Mt,HWE
208,239,0.157,Mt,HWE
209,176,0.755,Mt,HWE
209,205,0.515,Mt,HWE
209,213,0.587,Mt,HWE
224,228,0.78,Mt,HWE
224,232,0.962,Mt,HWE
226,235,0.256,Mt,HWE
226,182,0.001,Mt,HWE
226,187,0.01,Mt,HWE
226,205,0.063,Mt,HWE
226,213,0.001,Mt,HWE
226,219,0.001,Mt,HWE
227,185,0.039,Mt,HWE
228,232,0.598,Mt,HWE
229,231,0.811,Mt,HWE
229,182,0.435,Mt,HWE
229,188,0.223,Mt,HWE
229,212,0.834,Mt,HWE
230,234,0.048,Mt,HWE
230,239,0.874,Mt,HWE
230,187,0.127,Mt,HWE
230,221,0.199,Mt,HWE
231,182,0.063,Mt,HWE
232,211,0.047,Mt,HWE
233,236,0.002,Mt,HWE
233,239,0.153,Mt,HWE
234,237,0.001,Mt,HWE
234,187,0.896,Mt,HWE
234,216,0.003,Mt,HWE
234,217,0.002,Mt,HWE
235,236,0.015,Mt,HWE
235,237,0.005,Mt,HWE
236,187,0.009,Mt,HWE
239,180,0.002,Mt,HWE
239,221,0.079,Mt,HWE
240,183,0.712,Mt,HWE
240,205,0.651,Mt,HWE
240,216,0.003,Mt,HWE
176,212,0.775,Mt,HWE
176,216,0.685,Mt,HWE
176,218,0.077,Mt,HWE
176,223,0.841,Mt,HWE
178,185,0.863,Mt,HWE
178,210,0.007,Mt,HWE
179,215,0.696,Mt,HWE
179,216,0.833,Mt,HWE
179,220,0.677,Mt,HWE
180,217,0.746,Mt,HWE
181,203,0.859,Mt,HWE
181,210,0.904,Mt,HWE
181,214,0.41,Mt,HWE
181,217,0.429,Mt,HWE
182,188,0.629,Mt,HWE
182,213,0.52,Mt,HWE
182,219,0.857,Mt,HWE
183,204,0.007,Mt,HWE
183,222,0.024,Mt,HWE
184,200,0.775,Mt,HWE
184,211,0.232,Mt,HWE
184,219,0.502,Mt,HWE
185,202,0.013,Mt,HWE
185,211,0.013,Mt,HWE
187,216,0.003,Mt,HWE
187,217,0.002,Mt,HWE
199,221,0.034,Mt,HWE
200,219,0.723,Mt,HWE
201,202,0.782,Mt,HWE
201,215,0.576,Mt,HWE
201,218,0.004,Mt,HWE
202,215,0.812,Mt,HWE
203,210,0.378,Mt,HWE
204,222,0.377,Mt,HWE
205,213,0.414,Mt,HWE
205,216,0.003,Mt,HWE
211,221,0.087,Mt,HWE
212,216,0.79,Mt,HWE
212,218,0.077,Mt,HWE
212,223,0.418,Mt,HWE
213,219,0.866,Mt,HWE
214,217,0.677,Mt,HWE
214,222,0.927,Mt,HWE
216,218,0.077,Mt,HWE
216,220,0.686,Mt,HWE
216,223,0.581,Mt,HWE
218,220,0.609,Mt,HWE
218,223,0.186,Mt,HWE
192,231,0.044,Mt,17clust
192,176,0.663,Mt,17clust
192,199,0.814,Mt,17clust
193,225,0.601,Mt,17clust
193,240,0.126,Mt,17clust
194,206,0.013,Mt,17clust
195,226,0.059,Mt,17clust
195,199,0.394,Mt,17clust
195,204,0.475,Mt,17clust
196,219,0.013,Mt,17clust
198,226,0.079,Mt,17clust
198,235,0.444,Mt,17clust
198,213,0.764,Mt,17clust
206,214,0.614,Mt,17clust
206,217,0.088,Mt,17clust
207,230,0.045,Mt,17clust
207,217,0.155,Mt,17clust
208,209,0.477,Mt,17clust
209,233,0.784,Mt,17clust
209,213,0.864,Mt,17clust
224,228,0.279,Mt,17clust
224,176,0.01,Mt,17clust
225,178,0.134,Mt,17clust
226,187,0.009,Mt,17clust
226,219,0.613,Mt,17clust
227,215,0.463,Mt,17clust
228,240,0.339,Mt,17clust
228,205,0.325,Mt,17clust
228,217,0.614,Mt,17clust
229,179,0.543,Mt,17clust
229,184,0.69,Mt,17clust
229,211,0.1,Mt,17clust
229,216,0.286,Mt,17clust
230,184,0.823,Mt,17clust
230,217,0.282,Mt,17clust
232,239,0.844,Mt,17clust
232,200,0.864,Mt,17clust
232,219,0.76,Mt,17clust
234,181,0.894,Mt,17clust
234,187,0.839,Mt,17clust
234,216,0.772,Mt,17clust
235,236,0.963,Mt,17clust
235,217,0.002,Mt,17clust
240,205,0.252,Mt,17clust
240,217,0.795,Mt,17clust
178,185,0.432,Mt,17clust
179,201,0.397,Mt,17clust
179,215,0.869,Mt,17clust
179,216,0.654,Mt,17clust
180,217,0.027,Mt,17clust
181,203,0.433,Mt,17clust
184,211,0.553,Mt,17clust
185,202,0.835,Mt,17clust
187,216,0.721,Mt,17clust
188,210,0.865,Mt,17clust
188,212,0.895,Mt,17clust
200,219,0.777,Mt,17clust
201,215,0.662,Mt,17clust
204,222,0.4,Mt,17clust
205,213,0.06,Mt,17clust
205,217,0.139,Mt,17clust
210,220,0.588,Mt,17clust
211,221,0.651,Mt,17clust
214,217,0.051,Mt,17clust
214,222,0.567,Mt,17clust
217,219,0.003,Mt,17clust
39,43,0.46,Mor,HWE
39,54,0.277,Mor,HWE
39,58,0.894,Mor,HWE
40,46,0.02,Mor,HWE
40,47,0.016,Mor,HWE
40,49,0.002,Mor,HWE
40,59,0.001,Mor,HWE
40,63,0.02,Mor,HWE
40,66,0.157,Mor,HWE
43,45,0.717,Mor,HWE
43,55,0.049,Mor,HWE
44,62,0.002,Mor,HWE
44,68,0.019,Mor,HWE
45,56,0.273,Mor,HWE
45,64,0.02,Mor,HWE
45,69,0.053,Mor,HWE
46,53,0.059,Mor,HWE
46,57,0.015,Mor,HWE
46,63,0.941,Mor,HWE
47,48,0.463,Mor,HWE
47,62,0.478,Mor,HWE
47,68,0.122,Mor,HWE
47,69,0.002,Mor,HWE
48,51,0.686,Mor,HWE
48,68,0.02,Mor,HWE
49,59,0.781,Mor,HWE
49,61,0.884,Mor,HWE
50,56,0.021,Mor,HWE
50,58,0.908,Mor,HWE
50,61,0.013,Mor,HWE
50,65,0.499,Mor,HWE
51,65,0.161,Mor,HWE
51,68,0.388,Mor,HWE
52,55,0.869,Mor,HWE
52,68,0.293,Mor,HWE
54,58,0.149,Mor,HWE
54,63,0.001,Mor,HWE
54,69,0.237,Mor,HWE
55,68,0.633,Mor,HWE
56,58,0.018,Mor,HWE
60,63,0.009,Mor,HWE
60,69,0.049,Mor,HWE
62,66,0.821,Mor,HWE
62,67,0.069,Mor,HWE
62,69,0.816,Mor,HWE
63,69,0.001,Mor,HWE
65,67,0.255,Mor,HWE
65,68,0.153,Mor,HWE
66,67,0.179,Mor,HWE
66,69,0.808,Mor,HWE
67,69,0.213,Mor,HWE
39,43,0.827,Mor,17clust
39,48,0.561,Mor,17clust
39,54,0.002,Mor,17clust
39,58,0.842,Mor,17clust
39,66,0.017,Mor,17clust
40,47,0.001,Mor,17clust
40,49,0.023,Mor,17clust
40,63,0.019,Mor,17clust
40,68,0.001,Mor,17clust
43,55,0.799,Mor,17clust
43,62,0.003,Mor,17clust
44,62,0.073,Mor,17clust
44,68,0.437,Mor,17clust
45,50,0.522,Mor,17clust
45,54,0.005,Mor,17clust
45,58,0.181,Mor,17clust
46,53,0.001,Mor,17clust
46,57,0.924,Mor,17clust
47,55,0.003,Mor,17clust
47,62,0.465,Mor,17clust
47,68,0.763,Mor,17clust
47,69,0.01,Mor,17clust
48,51,0.002,Mor,17clust
48,58,0.87,Mor,17clust
48,62,0.002,Mor,17clust
49,56,0.011,Mor,17clust
49,59,0.658,Mor,17clust
49,61,0.884,Mor,17clust
49,69,0.019,Mor,17clust
50,56,0.003,Mor,17clust
50,58,0.749,Mor,17clust
51,62,0.456,Mor,17clust
51,65,0.005,Mor,17clust
52,55,0.835,Mor,17clust
53,57,0.001,Mor,17clust
54,56,0.002,Mor,17clust
54,58,0.002,Mor,17clust
54,63,0.003,Mor,17clust
54,65,0.005,Mor,17clust
54,69,0.069,Mor,17clust
55,68,0.003,Mor,17clust
56,61,0.008,Mor,17clust
56,69,0.348,Mor,17clust
57,63,0.05,Mor,17clust
59,66,0.005,Mor,17clust
60,63,0.144,Mor,17clust
60,69,0.096,Mor,17clust
62,63,0.004,Mor,17clust
62,69,0.091,Mor,17clust
63,65,0.048,Mor,17clust
66,67,0.091,Mor,17clust
66,69,0.61,Mor,17clust
7,21,0.518,Nap,HWE
8,9,0.407,Nap,HWE
8,22,0.843,Nap,HWE
9,22,0.821,Nap,HWE
9,25,0.656,Nap,HWE
10,17,0.815,Nap,HWE
10,30,0.866,Nap,HWE
11,15,0.555,Nap,HWE
11,21,0.005,Nap,HWE
11,27,0.116,Nap,HWE
11,37,0.054,Nap,HWE
12,21,0.517,Nap,HWE
12,23,0.306,Nap,HWE
13,15,0.827,Nap,HWE
13,37,0.294,Nap,HWE
15,34,0.023,Nap,HWE
16,20,0.066,Nap,HWE
16,23,0.135,Nap,HWE
16,24,0.575,Nap,HWE
16,26,0.089,Nap,HWE
16,38,0.247,Nap,HWE
17,19,0.856,Nap,HWE
19,23,0.766,Nap,HWE
19,30,0.3,Nap,HWE
20,21,0.002,Nap,HWE
20,24,0.211,Nap,HWE
20,33,0.669,Nap,HWE
20,38,0.327,Nap,HWE
21,23,0.184,Nap,HWE
21,24,0.146,Nap,HWE
21,32,0.002,Nap,HWE
21,33,0.002,Nap,HWE
22,33,0.704,Nap,HWE
23,26,0.002,Nap,HWE
23,30,0.438,Nap,HWE
24,36,0.003,Nap,HWE
24,38,0.002,Nap,HWE
27,36,0.085,Nap,HWE
27,38,0.92,Nap,HWE
28,31,0.001,Nap,HWE
28,38,0.012,Nap,HWE
33,38,0.208,Nap,HWE
7,21,0.806,Nap,17clust
8,9,0.005,Nap,17clust
8,12,0.229,Nap,17clust
8,22,0.835,Nap,17clust
8,23,0.06,Nap,17clust
8,24,0.077,Nap,17clust
8,35,0.001,Nap,17clust
9,22,0.005,Nap,17clust
9,24,0.045,Nap,17clust
9,36,0.669,Nap,17clust
10,17,0.594,Nap,17clust
10,30,0.78,Nap,17clust
10,34,0.048,Nap,17clust
11,15,0.101,Nap,17clust
11,27,0.725,Nap,17clust
12,21,0.002,Nap,17clust
12,23,0.013,Nap,17clust
13,15,0.908,Nap,17clust
13,23,0.06,Nap,17clust
13,37,0.904,Nap,17clust
14,33,0.002,Nap,17clust
15,34,0.53,Nap,17clust
16,24,0.078,Nap,17clust
16,26,0.011,Nap,17clust
16,33,0.056,Nap,17clust
16,38,0.831,Nap,17clust
17,19,0.855,Nap,17clust
17,30,0.415,Nap,17clust
17,32,0.014,Nap,17clust
18,33,0.002,Nap,17clust
19,23,0.168,Nap,17clust
19,30,0.032,Nap,17clust
19,31,0.605,Nap,17clust
20,24,0.49,Nap,17clust
20,33,0.326,Nap,17clust
21,22,0.002,Nap,17clust
21,23,0.019,Nap,17clust
21,24,0.51,Nap,17clust
21,33,0.016,Nap,17clust
21,38,0.054,Nap,17clust
22,24,0.082,Nap,17clust
22,28,0.112,Nap,17clust
22,33,0.067,Nap,17clust
23,26,0.135,Nap,17clust
23,27,0.004,Nap,17clust
23,30,0.51,Nap,17clust
23,31,0.043,Nap,17clust
23,33,0.003,Nap,17clust
23,37,0.06,Nap,17clust
24,31,0.002,Nap,17clust
24,36,0.039,Nap,17clust
27,30,0.004,Nap,17clust
27,36,0.023,Nap,17clust
27,38,0.8,Nap,17clust
28,31,0.001,Nap,17clust
28,38,0.002,Nap,17clust
30,33,0.003,Nap,17clust
30,34,0.046,Nap,17clust
33,38,0.063,Nap,17clust
34,38,0.002,Nap,17clust
35,38,0.005,Nap,17clust
102,136,0.917,Shin,HWE
102,140,0.496,Shin,HWE
105,126,0.009,Shin,HWE
105,129,0.907,Shin,HWE
105,130,0.531,Shin,HWE
105,166,0.461,Shin,HWE
106,126,0.936,Shin,HWE
106,S26,0.009,Shin,HWE
107,162,0.875,Shin,HWE
108,112,0.784,Shin,HWE
108,S1,0.917,Shin,HWE
108,119,0.571,Shin,HWE
110,103,0.016,Shin,HWE
110,116,0.003,Shin,HWE
110,121,0.005,Shin,HWE
111,143,0.902,Shin,HWE
111,157,0.764,Shin,HWE
111,165,0.614,Shin,HWE
112,167,0.952,Shin,HWE
112,S80,0.927,Shin,HWE
124,167,0.842,Shin,HWE
124,S22,0.717,Shin,HWE
124,S61,0.099,Shin,HWE
125,156,0.221,Shin,HWE
125,S28,0.001,Shin,HWE
125,172,0.814,Shin,HWE
125,S44,0.674,Shin,HWE
126,S26,0.856,Shin,HWE
128,132,0.707,Shin,HWE
128,149,0.124,Shin,HWE
128,S45,0.802,Shin,HWE
128,S52,0.189,Shin,HWE
128,S62,0.003,Shin,HWE
129,166,0.444,Shin,HWE
129,149,0.002,Shin,HWE
129,S21,0.867,Shin,HWE
130,S101,0.556,Shin,HWE
131,147,0.89,Shin,HWE
131,148,0.718,Shin,HWE
132,168,0.668,Shin,HWE
132,S40,0.805,Shin,HWE
132,S45,0.852,Shin,HWE
132,S52,0.809,Shin,HWE
134,145,0.934,Shin,HWE
134,165,0.895,Shin,HWE
134,114,0.87,Shin,HWE
134,S20,0.626,Shin,HWE
134,S69,0.803,Shin,HWE
136,140,0.918,Shin,HWE
137,104,0.972,Shin,HWE
140,S42,0.945,Shin,HWE
143,165,0.695,Shin,HWE
143,S95,0.862,Shin,HWE
145,S40,0.926,Shin,HWE
145,114,0.408,Shin,HWE
145,S69,0.194,Shin,HWE
147,121,0.789,Shin,HWE
147,S97,0.89,Shin,HWE
152,158,0.168,Shin,HWE
152,S74,0.068,Shin,HWE
155,157,0.011,Shin,HWE
155,154,0.502,Shin,HWE
155,S26,0.179,Shin,HWE
155,S39,0.817,Shin,HWE
156,122,0.506,Shin,HWE
156,172,0.565,Shin,HWE
156,S44,0.905,Shin,HWE
158,S30,0.84,Shin,HWE
158,S31,0.876,Shin,HWE
158,S41,0.151,Shin,HWE
158,S11,0.41,Shin,HWE
164,S64,0.419,Shin,HWE
164,119,0.844,Shin,HWE
164,S61,0.838,Shin,HWE
165,S20,0.605,Shin,HWE
167,S22,0.012,Shin,HWE
167,S61,0.348,Shin,HWE
167,S80,0.822,Shin,HWE
168,S40,0.733,Shin,HWE
S1,119,0.869,Shin,HWE
S1,S45,0.682,Shin,HWE
S25,162,0.852,Shin,HWE
S25,S100,0.911,Shin,HWE
S25,S101,0.763,Shin,HWE
S27,103,0.102,Shin,HWE
S27,S13,0.001,Shin,HWE
S27,S79,0.869,Shin,HWE
S27,S93,0.88,Shin,HWE
S28,S13,0.135,Shin,HWE
S28,S67,0.694,Shin,HWE
S29,S60,0.014,Shin,HWE
S29,S11,0.014,Shin,HWE
S36,S4,0.864,Shin,HWE
S41,S11,0.764,Shin,HWE
S42,170,0.975,Shin,HWE
S42,S44,0.872,Shin,HWE
S51,S22,0.971,Shin,HWE
S51,S67,0.903,Shin,HWE
S55,S26,0.011,Shin,HWE
S60,S11,0.757,Shin,HWE
S60,S52,0.574,Shin,HWE
S60,S82,0.924,Shin,HWE
S64,S61,0.906,Shin,HWE
S64,S62,0.583,Shin,HWE
S66,169,0.906,Shin,HWE
S66,S12,0.26,Shin,HWE
S66,S6,0.298,Shin,HWE
S76,S38,0.779,Shin,HWE
S76,S75,0.862,Shin,HWE
103,S62,0.092,Shin,HWE
103,S79,0.158,Shin,HWE
103,S93,0.174,Shin,HWE
104,118,0.847,Shin,HWE
114,S69,0.851,Shin,HWE
115,S15,0.005,Shin,HWE
115,S68,0.788,Shin,HWE
115,S85,0.597,Shin,HWE
115,S87,0.598,Shin,HWE
115,S90,0.877,Shin,HWE
116,121,0.831,Shin,HWE
116,149,0.009,Shin,HWE
116,S6,0.047,Shin,HWE
118,153,0.814,Shin,HWE
120,S39,0.916,Shin,HWE
121,S97,0.864,Shin,HWE
122,S100,0.922,Shin,HWE
149,S21,0.002,Shin,HWE
149,S83,0.006,Shin,HWE
150,S14,0.018,Shin,HWE
150,S97,0.336,Shin,HWE
153,169,0.843,Shin,HWE
170,S44,0.868,Shin,HWE
171,S79,0.891,Shin,HWE
171,S87,0.646,Shin,HWE
171,S94,0.596,Shin,HWE
172,S44,0.243,Shin,HWE
S100,S101,0.086,Shin,HWE
S12,S21,0.795,Shin,HWE
S15,S68,0.84,Shin,HWE
S15,S85,0.005,Shin,HWE
S20,S83,0.605,Shin,HWE
S22,S61,0.744,Shin,HWE
S26,S39,0.607,Shin,HWE
S26,S58,0.011,Shin,HWE
S4,S62,0.005,Shin,HWE
S45,S52,0.935,Shin,HWE
S52,S82,0.92,Shin,HWE
S6,S69,0.505,Shin,HWE
S6,S95,0.201,Shin,HWE
S68,S85,0.859,Shin,HWE
S74,S93,0.861,Shin,HWE
S74,S94,0.603,Shin,HWE
S79,S87,0.396,Shin,HWE
S79,S93,0.807,Shin,HWE
S87,S90,0.825,Shin,HWE
S93,S94,0.685,Shin,HWE
102,108,0.004,Shin,17clust
102,165,0.653,Shin,17clust
105,126,0.864,Shin,17clust
105,129,0.647,Shin,17clust
105,160,0.248,Shin,17clust
105,166,0.129,Shin,17clust
106,135,0.024,Shin,17clust
107,126,0.025,Shin,17clust
107,154,0.263,Shin,17clust
107,171,0.002,Shin,17clust
107,S15,0.686,Shin,17clust
108,S27,0.001,Shin,17clust
110,155,0.223,Shin,17clust
110,S51,0.816,Shin,17clust
110,116,0.031,Shin,17clust
110,170,0.215,Shin,17clust
111,S19,0.867,Shin,17clust
111,S75,0.814,Shin,17clust
112,S80,0.93,Shin,17clust
112,S97,0.401,Shin,17clust
125,152,0.688,Shin,17clust
125,157,0.002,Shin,17clust
125,S11,0.768,Shin,17clust
126,160,0.821,Shin,17clust
126,154,0.906,Shin,17clust
127,116,0.017,Shin,17clust
127,151,0.541,Shin,17clust
127,154,0.04,Shin,17clust
128,132,0.694,Shin,17clust
128,155,0.88,Shin,17clust
129,166,0.033,Shin,17clust
129,S21,0.755,Shin,17clust
130,S85,0.887,Shin,17clust
131,147,0.839,Shin,17clust
131,S4,0.412,Shin,17clust
131,S69,0.718,Shin,17clust
132,155,0.574,Shin,17clust
132,158,0.347,Shin,17clust
132,S15,0.488,Shin,17clust
132,S97,0.889,Shin,17clust
134,145,0.845,Shin,17clust
134,165,0.87,Shin,17clust
134,149,0.581,Shin,17clust
135,121,0.328,Shin,17clust
136,140,0.897,Shin,17clust
136,S1,0.893,Shin,17clust
136,119,0.052,Shin,17clust
137,104,0.959,Shin,17clust
140,S1,0.057,Shin,17clust
140,S42,0.89,Shin,17clust
140,119,0.799,Shin,17clust
143,162,0.642,Shin,17clust
143,S26,0.068,Shin,17clust
143,S94,0.744,Shin,17clust
143,S95,0.618,Shin,17clust
146,S93,0.005,Shin,17clust
