ind1,ind2,prob,Bay,run
192,231,0.386,Mt,17_0.1
192,176,0.479,Mt,17_0.1
192,199,0.413,Mt,17_0.1
193,225,0.236,Mt,17_0.1
193,240,0.115,Mt,17_0.1
194,227,0.001,Mt,17_0.1
194,181,0.045,Mt,17_0.1
195,225,0.002,Mt,17_0.1
195,226,0.111,Mt,17_0.1
195,199,0.114,Mt,17_0.1
195,204,0.463,Mt,17_0.1
195,222,0.013,Mt,17_0.1
196,214,0.012,Mt,17_0.1
196,217,0.568,Mt,17_0.1
196,219,0.57,Mt,17_0.1
198,235,0.509,Mt,17_0.1
198,213,0.826,Mt,17_0.1
206,214,0.105,Mt,17_0.1
206,217,0.005,Mt,17_0.1
207,230,0.003,Mt,17_0.1
207,217,0.004,Mt,17_0.1
208,209,0.477,Mt,17_0.1
209,233,0.784,Mt,17_0.1
209,213,0.864,Mt,17_0.1
224,232,0.936,Mt,17_0.1
225,178,0.08,Mt,17_0.1
225,185,0.002,Mt,17_0.1
226,187,0.007,Mt,17_0.1
226,216,0.007,Mt,17_0.1
226,219,0.261,Mt,17_0.1
227,181,0.005,Mt,17_0.1
227,215,0.099,Mt,17_0.1
228,240,0.021,Mt,17_0.1
228,205,0.021,Mt,17_0.1
228,211,0.026,Mt,17_0.1
228,215,0.026,Mt,17_0.1
228,217,0.021,Mt,17_0.1
229,179,0.543,Mt,17_0.1
229,184,0.69,Mt,17_0.1
229,211,0.087,Mt,17_0.1
229,216,0.286,Mt,17_0.1
230,184,0.823,Mt,17_0.1
230,217,0.135,Mt,17_0.1
232,239,0.507,Mt,17_0.1
232,200,0.328,Mt,17_0.1
232,219,0.222,Mt,17_0.1
234,240,0.259,Mt,17_0.1
234,181,0.894,Mt,17_0.1
234,187,0.009,Mt,17_0.1
234,215,0.052,Mt,17_0.1
234,216,0.136,Mt,17_0.1
234,217,0.588,Mt,17_0.1
235,236,0.963,Mt,17_0.1
240,205,0.021,Mt,17_0.1
240,217,0.746,Mt,17_0.1
178,185,0.129,Mt,17_0.1
179,201,0.2,Mt,17_0.1
179,215,0.869,Mt,17_0.1
179,216,0.654,Mt,17_0.1
180,215,0.006,Mt,17_0.1
180,217,0.003,Mt,17_0.1
181,182,0.004,Mt,17_0.1
181,203,0.168,Mt,17_0.1
181,215,0.094,Mt,17_0.1
184,211,0.479,Mt,17_0.1
185,202,0.835,Mt,17_0.1
185,211,0.062,Mt,17_0.1
187,216,0.601,Mt,17_0.1
188,210,0.865,Mt,17_0.1
188,212,0.895,Mt,17_0.1
199,200,0.001,Mt,17_0.1
200,219,0.296,Mt,17_0.1
201,215,0.334,Mt,17_0.1
204,222,0.395,Mt,17_0.1
205,217,0.021,Mt,17_0.1
210,220,0.319,Mt,17_0.1
211,215,0.083,Mt,17_0.1
211,220,0.085,Mt,17_0.1
211,221,0.357,Mt,17_0.1
214,222,0.092,Mt,17_0.1
217,219,0.394,Mt,17_0.1
