ind1,ind2,prob,Bay,run
192,231,0.347,Mt,17_obs
192,176,0.624,Mt,17_obs
192,199,0.457,Mt,17_obs
193,225,0.324,Mt,17_obs
193,240,0.163,Mt,17_obs
195,226,0.194,Mt,17_obs
195,199,0.125,Mt,17_obs
195,204,0.475,Mt,17_obs
196,217,0.728,Mt,17_obs
196,219,0.804,Mt,17_obs
198,235,0.505,Mt,17_obs
198,213,0.826,Mt,17_obs
206,214,0.13,Mt,17_obs
208,209,0.477,Mt,17_obs
209,233,0.784,Mt,17_obs
209,213,0.864,Mt,17_obs
224,228,0.077,Mt,17_obs
224,176,0.001,Mt,17_obs
225,178,0.069,Mt,17_obs
227,181,0.006,Mt,17_obs
227,215,0.201,Mt,17_obs
229,179,0.543,Mt,17_obs
229,184,0.69,Mt,17_obs
229,211,0.1,Mt,17_obs
229,216,0.286,Mt,17_obs
230,184,0.823,Mt,17_obs
232,239,0.844,Mt,17_obs
232,200,0.864,Mt,17_obs
232,219,0.76,Mt,17_obs
234,240,0.335,Mt,17_obs
234,181,0.894,Mt,17_obs
234,217,0.746,Mt,17_obs
235,236,0.963,Mt,17_obs
240,217,0.795,Mt,17_obs
178,185,0.178,Mt,17_obs
179,201,0.383,Mt,17_obs
179,215,0.869,Mt,17_obs
179,216,0.654,Mt,17_obs
181,203,0.316,Mt,17_obs
184,211,0.553,Mt,17_obs
185,202,0.835,Mt,17_obs
187,216,0.721,Mt,17_obs
188,210,0.865,Mt,17_obs
188,212,0.895,Mt,17_obs
200,219,0.777,Mt,17_obs
201,215,0.637,Mt,17_obs
204,222,0.4,Mt,17_obs
210,220,0.394,Mt,17_obs
211,220,0.084,Mt,17_obs
211,221,0.522,Mt,17_obs
214,222,0.07,Mt,17_obs
217,219,0.556,Mt,17_obs
