est,low,high,alpha,n,bay,run
364,300,443,0,201,ALL-combined,colony-random-17
153,94,335,0,32,Jamaica,colony-random-17
90,54,173,0,29,Moriches,colony-random-17
125,88,184,0,139,Mattituck,colony-random-17
89,55,156,0,31,Napeague,colony-random-17
214,164,278,0,117,Shinnecock,colony-random-17
353,288,430,0.01,201,ALL-combined,colony-nonrandom-17
157,90,337,-0.01,32,Jamaica,colony-nonrandom-17
88,54,170,0.01,29,Moriches,colony-nonrandom-17
121,88,179,0.01,139,Mattituck,colony-nonrandom-17
89,56,167,0,31,Napeague,colony-nonrandom-17
196,149,259,0.03,117,Shinnecock,colony-nonrandom-17
223,189,285,0,202,ALL-combined,colony-random-HWE
94,57,178,0,32,Jamaica,colony-random-HWE
74,44,132,0,29,Moriches,colony-random-HWE
93,66,139,0,139,Mattituck,colony-random-HWE
81,50,138,0,26,Napeague,colony-random-HWE
204,162,264,0,117,Shinnecock,colony-random-HWE
233,189,289,0,202,ALL-combined,colony-nonrandom-HWE
92,56,169,0.01,32,Jamaica,colony-nonrandom-HWE
68,42,119,0.03,29,Moriches,colony-nonrandom-HWE
83,58,123,0.04,139,Mattituck,colony-nonrandom-HWE
79,49,146,0.01,26,Napeague,colony-nonrandom-HWE
177,136,234,0,117,Shinnecock,colony-nonrandom-HWE
457,376,550,0,,ALL-combined,colony-random-oct8
220,123,705,0,,Jamaica,colony-random-oct8
193,105,627,0,,Moriches,colony-random-oct8
138,95,207,0,,Mattituck,colony-random-oct8
98,63,185,0,,Napeague,colony-random-oct8
316,244,425,0,,Shinnecock,colony-random-oct8
431,356,525,0.02,,ALL-combined,colony-nonrandom-oct8
220,119,656,0,,Jamaica,colony-nonrandom-oct8
193,111,593,0,,Moriches,colony-nonrandom-oct8
130,92,194,0.02,,Mattituck,colony-nonrandom-oct8
98,61,183,0,,Napeague,colony-nonrandom-oct8
274,208,366,0.05,,Shinnecock,colony-nonrandom-oct8
977.15,439.6,1648.9,,201,ALL-combined,NeEstimator-jacknifeLCI
146.05,96.2,165,,32,Jamaica,NeEstimator-jacknifeLCI
167.65,138.2,190.5,,30,Moriches,NeEstimator-jacknifeLCI
240,169.8,314.4,,42,Mattituck,NeEstimator-jacknifeLCI
76.3,54.5,97.6,,31,Napeague,NeEstimator-jacknifeLCI
229.3,145.3,240.1,,66,Shinnecock,NeEstimator-jacknifeLCI
