pair.no,ind1.id,ind2.id,Relatedness_Value,trioml.low,trioml.high,Pop.x,Ocean.x,BayYear1,Bay1,ConYear1,Con1,Year1,Pop.y,Ocean.y,BayYear2,Bay2,ConYear2,Con2,Year2,BayPair
17720,192,193,0.0318,0,0.1924,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Mt-Mt
17721,192,194,0.0961,0,0.5963,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Mt-Mt
17722,192,195,0.0392,0,0.3784,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Mt-Mt
17723,192,196,0,0,0.1006,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Mt-Mt
17724,192,198,0.0502,0,0.4545,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Mt-Mt
17725,192,206,0,0,0.2851,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2016,Atl,Mt_2016,Mt,1_2016,1,2016,Mt-Mt
17726,192,207,0,0,0.01,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2016,Atl,Mt_2016,Mt,1_2016,1,2016,Mt-Mt
17727,192,208,0,0,0.1182,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2016,Atl,Mt_2016,Mt,1_2016,1,2016,Mt-Mt
17728,192,224,0,0,0.2207,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2016,Atl,Mt_2016,Mt,1_2016,1,2016,Mt-Mt
17729,192,225,0,0,0.1382,Atl_Mt_1_2015,Atl,Mt_2015,Mt,1_2015,1,2015,Atl_Mt_1_2016,Atl,Mt_2016,Mt,1_2016,1,2016,Mt-Mt
