pair.no,ind1.id,ind2.id,Relatedness_Value,trioml.low,trioml.high,Pop.x,Ocean.x,BayYear1,Bay1,ConYear1,Con1,Year1,Pop.y,Ocean.y,BayYear2,Bay2,ConYear2,Con2,Year2,BayPair
50275,102,105,0.092,0,0.4081,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50276,102,106,0.0273,0,0.1584,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50277,102,107,0,0,0.1267,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50278,102,108,0.0598,0,0.293,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50279,102,110,0,0,0.0803,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50280,102,111,0,0,0,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50281,102,112,0.008,0,0.3077,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50282,102,124,0,0,0.1064,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50283,102,125,0,0,0.1162,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50284,102,127,0.0569,0,0.2737,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50285,102,129,0.0905,0,0.2823,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50286,102,130,0,0,0.3246,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50287,102,131,0.0251,0,0.3296,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50288,102,132,0.0594,0,0.2898,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50289,102,134,0,0,0.2352,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50290,102,135,0.0192,0,0.266,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50291,102,136,0.1489,0.0282,0.4155,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50292,102,137,0,0,0.1312,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50293,102,140,0.0399,0,0.2733,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50294,102,143,0.1499,0.0826,0.4167,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50295,102,145,0,0,0.1608,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50296,102,146,0.0102,0,0.2264,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50297,102,147,0.1127,0.0052,0.3512,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50298,102,152,0,0,0.1719,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50299,102,155,0,0,0.1392,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50300,102,156,0.0647,0,0.3615,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50301,102,157,0.0498,0,0.359,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50302,102,164,0.1458,0,0.5921,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50303,102,165,0.1723,0,0.6132,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50304,102,166,0,0,0.1786,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
50305,102,167,0.0942,0,0.2957,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Atl_Shin_1_2016,Atl,Shin_2016,Shin,1_2016,1,2016,Shin-Shin
